WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.7815557167 -43.8908890167),148658,3038411,49410,"61 Glassworks Road, Netherby, Ashburton",61,61,,Glassworks Road,Netherby,Ashburton District,Glassworks Road,"61 Glassworks Road, Netherby, Ashburton",Netherby,171.781555717,-43.8908890167
POINT (171.79312365 -43.7481521667),148732,1781040,36193,"1847 Thompsons Track, Lauriston",1847,1847,,Thompsons Track,Lauriston,Ashburton District,Thompsons Track,"1847 Thompsons Track, Lauriston",Lauriston,171.79312365,-43.7481521667
POINT (171.7928617667 -43.7481478333),148733,1781040,36193,"1849 Thompsons Track, Lauriston",1849,1849,,Thompsons Track,Lauriston,Ashburton District,Thompsons Track,"1849 Thompsons Track, Lauriston",Lauriston,171.792861767,-43.7481478333
POINT (171.7885472833 -43.93993465),148842,3046764,49396,"371 Beach Road East, Elgin, Ashburton",371,371,,Beach Road East,Elgin,Ashburton District,Beach Road East,"371 Beach Road East, Elgin, Ashburton",Elgin,171.78854728299999,-43.93993465
POINT (171.9279246667 -43.78558965),149439,3070059,35651,"825 Dromore Hatfield Road, Chertsey",825,825,,Dromore Hatfield Road,Chertsey,Ashburton District,Dromore Hatfield Road,"825 Dromore Hatfield Road, Chertsey",Chertsey,171.927924667,-43.78558965
POINT (171.9954700667 -43.74385395),149981,3063153,38036,"202 Rakaia Barrhill Methven Road, Rakaia",202,202,,Rakaia Barrhill Methven Road,Rakaia,Ashburton District,Rakaia Barrhill Methven Road,"202 Rakaia Barrhill Methven Road, Rakaia",Rakaia,171.995470067,-43.74385395
POINT (172.0169947833 -43.75393225),150286,1781172,40245,"2 Elizabeth Avenue, Rakaia",2,2,,Elizabeth Avenue,Rakaia,Ashburton District,Elizabeth Avenue,"2 Elizabeth Avenue, Rakaia",Rakaia,172.016994783,-43.75393225
POINT (172.0239309333 -43.7588338667),150410,3049570,53875,"73 Bridge Street, Rakaia",73,73,,Bridge Street,Rakaia,Ashburton District,Bridge Street,"73 Bridge Street, Rakaia",Rakaia,172.023930933,-43.7588338667
POINT (172.0227551833 -43.9058174),150442,3052775,36694,"178 Longs Road, Pendarves",178,178,,Longs Road,Pendarves,Ashburton District,Longs Road,"178 Longs Road, Pendarves",Pendarves,172.022755183,-43.9058174
POINT (172.02903515 -43.7537760167),150541,1786366,45611,"105 Dunford Street, Rakaia",105,105,,Dunford Street,Rakaia,Ashburton District,Dunford Street,"105 Dunford Street, Rakaia",Rakaia,172.02903515,-43.7537760167
POINT (172.0292443167 -43.7538386833),150544,1786366,45611,"111 Dunford Street, Rakaia",111,111,,Dunford Street,Rakaia,Ashburton District,Dunford Street,"111 Dunford Street, Rakaia",Rakaia,172.029244317,-43.753838683299996
