,id,address,boolean
16832,16833,"38 Halstead Road, Pleasant Point",Request timed out
16834,16835,"33 Harris Street, Pleasant Point",Request timed out
16846,16847,"258 Fairview Road, Fairview",Request timed out
16852,16853,"33 Barnes Street, Glenwood, Timaru",Request timed out
16865,16866,"16 Melrose Street, Highfield, Timaru",Request timed out
16868,16869,"42 Kitchener Square, Highfield, Timaru",Request timed out
16883,16884,"162 Otipua Road, Watlington, Timaru",Request timed out
16894,16895,"51 Kennedy Street, Geraldine",Request timed out
16906,16907,"57 Luxmoore Road, Marchwiel, Timaru",Request timed out
16937,16938,"16 Canon Street, Timaru",Request timed out
16940,16941,"12A Arthur Street, Timaru",Request timed out
16956,16957,"12 Shaw Street, Redruth, Timaru",Request timed out
16957,16958,"139 King Street, Redruth, Timaru",Request timed out
16968,16969,"5 Station Road, Temuka",Request timed out
17012,17013,"12 Cox Street, Geraldine",Request timed out
17016,17017,"38 Stafford Street, Timaru",Request timed out
17024,17025,"16 Fox Street, Temuka",Request timed out
17035,17036,"14 Kalaugher Road, Geraldine Downs",Request timed out
17045,17046,"8 Hawthorn Place, Gleniti, Timaru",Request timed out
17050,17051,"23 Hopkins Street, Gleniti, Timaru",Request timed out
17094,17095,"24A Clifton Terrace, West End, Timaru",Request timed out
17105,17106,"20 Darby Street, Geraldine",Request timed out
17107,17108,"45 Cox Street, Geraldine",Request timed out
17109,17110,"30 Seadown Road, Washdyke, Timaru",Request timed out
17151,17152,"4 Browne Street, Parkside, Timaru",Request timed out
17157,17158,"43 Cambridge Street, Kensington, Timaru",Request timed out
17158,17159,"12 Birkett Street, Temuka",Request timed out
17164,17165,"2 King Street South, Temuka",Request timed out
17170,17171,"33 Gammack Street, Temuka",Request timed out
17208,17209,"17 Totara Street, Pleasant Point",Request timed out
17225,17226,"15 Lancewood Terrace, Oceanview, Timaru",Request timed out
17226,17227,"5 Rosebrook Road, Claremont",Request timed out
17228,17229,"55 Hornsey Road, Kakahu",Request timed out
17232,17233,"33 George Street, Pleasant Point",Request timed out
17241,17242,"170 Morgans Road, Marchwiel, Timaru",Request timed out
17244,17245,"30 Carlisle Place, Marchwiel, Timaru",Request timed out
17253,17254,"12 Clifford Street, Pareora",Request timed out
17260,17261,"10 Matai Crescent, Highfield, Timaru",Request timed out
17282,17283,"31 Raymond Street, West End, Timaru",Request timed out
17287,17288,"16 Jellicoe Street, Oceanview, Timaru",Request timed out
17288,17289,"28 Ellesmere Place, Oceanview, Timaru",Request timed out
17289,17290,"31 Tasman Street, Oceanview, Timaru",Request timed out
17298,17299,"29 Beverley Hill, Maori Hill, Timaru",Request timed out
17299,17300,"3 Lough Street, West End, Timaru",Request timed out
17325,17326,"270 Peel Forest Road, Arundel",Request timed out
17326,17327,"12 Browning Street, Winchester",Request timed out
17335,17336,"136 Palmer Road, Rangitata",Request timed out
17336,17337,"14 Maude Street, Temuka",Request timed out
17349,17350,"2/3 Wilmshurst Road, Temuka",Request timed out
17365,17366,"2/19 Baker Street, West End, Timaru",Request timed out
17421,17422,"1452 Taiko Road, Cave",Request timed out
17435,17436,"14 Poplar Street, Gleniti, Timaru",Request timed out
17443,17444,"107 Morgans Road, Glenwood, Timaru",Request timed out
17476,17477,"22 Sherratt Street, West End, Timaru",Request timed out
17483,17484,"9 Harborough Street, Watlington, Timaru",Request timed out
17484,17485,"24 Rockdale Road, Fairview",Request timed out
17492,17493,"5 South Terrace Road, Geraldine",Request timed out
17494,17495,"10 Beaumont Street, Oceanview, Timaru",Request timed out
17504,17505,"72 Wilson Street, Seaview, Timaru",Request timed out
17509,17510,"19 Maple Crescent, Watlington, Timaru",Request timed out
17512,17513,"6 Matilda Street, Seaview, Timaru",Request timed out
17518,17519,"15 Lancaster Street, Geraldine",Request timed out
17533,17534,"128 King Street, Temuka",Request timed out
17544,17545,"248 Gleniti Road, Gleniti, Timaru",Request timed out
17545,17546,"10/6 Nelson Terrace, Seaview, Timaru",Request timed out
17560,17561,"27 Meadows Road, Washdyke, Timaru",Request timed out
17561,17562,"31 Treneglos Street, Washdyke, Timaru",Request timed out
17586,17587,"28 Washdyke Flat Road, Washdyke, Timaru",Request timed out
17608,17609,"13 Main Road, Pleasant Point",Request timed out
17618,17619,"38 MacAulay Street, Gleniti, Timaru",Request timed out
17625,17626,"160 Pages Road, Marchwiel, Timaru",Request timed out
17626,17627,"3 Lachlan Place, Marchwiel, Timaru",Request timed out
17644,17645,"25 Marchwiel Street, Marchwiel, Timaru",Request timed out
17656,17657,"19 St George Street, Watlington, Timaru",Request timed out
17674,17675,"30 Hassall Street, Parkside, Timaru",Request timed out
17686,17687,"30 Elizabeth Street, Seaview, Timaru",Request timed out
17687,17688,"16 Arthur Street, Timaru",Request timed out
17692,17693,"13 Hawkey Street, Kensington, Timaru",Request timed out
17693,17694,"6 Cambridge Street, Kensington, Timaru",Request timed out
17694,17695,"44 Leckie Street, Redruth, Timaru",Request timed out
17695,17696,"482 Winchester-Geraldine Road, Geraldine Flat",Request timed out
17700,17701,"170 King Street, Temuka",Request timed out
17751,17752,"234 Stafford Street, Timaru",Request timed out
17754,17755,"29 Greig Street, Pleasant Point",Request timed out
17764,17765,"2 Meadowlinks Lane, Pleasant Point",Request timed out
17765,17766,"288 Gleniti Road, Gleniti, Timaru",Request timed out
17768,17769,"106 Te Ngawai Road, Pleasant Point",Request timed out
17770,17771,"29 Manse Road, Pleasant Point",Request timed out
17779,17780,"18 Poplar Street, Gleniti, Timaru",Request timed out
17791,17792,"8 Waipori Place, Glenwood, Timaru",Request timed out
17811,17812,"22 St George Street, Watlington, Timaru",Request timed out
17829,17830,"29 MacDonald Street, Waimataitai, Timaru",Request timed out
17830,17831,"6 Grasmere Street, Waimataitai, Timaru",Request timed out
17837,17838,"16 Brunswick Street, Seaview, Timaru",Request timed out
17840,17841,"33 Newton Street, Watlington, Timaru",Request timed out
17842,17843,"70 Mowbray Street, Watlington, Timaru",Request timed out
17851,17852,"17 Rose Street, Parkside, Timaru",Request timed out
17874,17875,"23 Hornbrook Street, Temuka",Request timed out
17897,17898,"19 Bowker Street, Kensington, Timaru",Request timed out
17898,17899,"55 Spring Road, Gleniti, Timaru",Request timed out
17907,17908,"21B Campbell Street, Geraldine",Request timed out
17908,17909,"159 Rocky Hundreds Road, Fairview",Request timed out
17919,17920,"11 Sea View Terrace, Seaview, Timaru",Request timed out
17920,17921,"4 Meadowstone Street, Gleniti, Timaru",Request timed out
17928,17929,"39 Main North Road, Geraldine",Request timed out
17938,17939,"120 Claremont Road, Otipua Creek",Request timed out
17961,17962,"44 Broadway Avenue, Highfield, Timaru",Request timed out
17963,17964,"7 Guinness Street, Highfield, Timaru",Request timed out
17964,17965,"7 Matai Crescent, Highfield, Timaru",Request timed out
17972,17973,"6 Forth Street, Marchwiel, Timaru",Request timed out
17977,17978,"14 Avenue Road, West End, Timaru",Request timed out
17984,17985,"6 Harris Street, Geraldine",Request timed out
18006,18007,"52 Woodlands Road, Parkside, Timaru",Request timed out
18018,18019,"7 William Street, Parkside, Timaru",Request timed out
18024,18025,"71 King Street, Parkside, Timaru",Request timed out
18025,18026,"35 Rothwell Street, Redruth, Timaru",Request timed out
18027,18028,"19 High Street, Parkside, Timaru",Request timed out
18038,18039,"16 Richard Pearse Drive, Temuka",Request timed out
18039,18040,"37 Hayhurst Street, Temuka",Request timed out
18057,18058,"6A Browne Street, Parkside, Timaru",Request timed out
18061,18062,"2/22 Beverley Hill, Maori Hill, Timaru",Request timed out
18090,18091,"46 Stafford Street, Timaru",Request timed out
18091,18092,"106 Oak Street, Orari",Request timed out
18101,18102,"91 Reilly Road, Orari",Request timed out
18106,18107,"28 Elizabeth Street, Cave",Request timed out
