address,boolean
"51 Richard Pearse Drive, Temuka ",Request timed out
"62 Wilkin Street, Temuka ",Request timed out
"46 Raymond Street, West End, Timaru ",Request timed out
"19 Hall Street, Timaru Port, Timaru ",Request timed out
"11A Sefton Street, Timaru ",Request timed out
"170 Stafford Street, Timaru ",Request timed out
"32 Te Ngawai Road, Pleasant Point ",Request timed out
"21 Horton Street, Pleasant Point ",Request timed out
"28 Carlisle Place, Marchwiel, Timaru ",Request timed out
"36A Barnes Street, Glenwood, Timaru ",Request timed out
"19A Guinness Street, Highfield, Timaru ",Request timed out
"46 Rathmore Street, West End, Timaru ",Request timed out
"36 Maslin Street, Geraldine ",Request timed out
"25 Cook Street, Oceanview, Timaru ",Request timed out
"56 Mahoneys Hill Road, Oceanview, Timaru ",Request timed out
"30 Grasmere Street, Waimataitai, Timaru ",Request timed out
"84 Elizabeth Street, Seaview, Timaru ",Request timed out
"167 North Street, West End, Timaru ",Request timed out
"8 Clifton Terrace, West End, Timaru ",Request timed out
"35 Campbell Street, Geraldine ",Request timed out
"21 Bank Street, Timaru ",Request timed out
"145 Temuka-Orari Highway, Winchester ",Request timed out
"3 Albert Terrace, Winchester ",Request timed out
"23 Grange Settlement Road, Temuka ",Request timed out
"16 Maude Street, Temuka ",Request timed out
"2/6 Studholme Street, Temuka ",Request timed out
"26 Factory Road, Temuka ",Request timed out
"10 Lancewood Terrace, Oceanview, Timaru ",Request timed out
"36 Holmglen Street, Washdyke, Timaru ",Request timed out
"19 Lancaster Street, Geraldine ",Request timed out
"12A Marchwiel Street, Marchwiel, Timaru ",Request timed out
"7A James Street, Kensington, Timaru ",Request timed out
"36 Horton Street, Pleasant Point ",Request timed out
"14 Anne Street, Cave ",Request timed out
"18 Stratheona Road, Pleasant Point ",Request timed out
"24 Baker Street, West End, Timaru ",Request timed out
"823 Opihi Road, Totara Valley ",Request timed out
"28A Preston Street, West End, Timaru ",Request timed out
"9 Maryburn Place, Gleniti, Timaru ",Request timed out
"26 Mountain View Road, Glenwood, Timaru ",Request timed out
"30 MacAulay Street, Gleniti, Timaru ",Request timed out
"114 Orbell Street, Glenwood, Timaru ",Request timed out
"27 Barnes Street, Glenwood, Timaru ",Request timed out
"14 Collingwood Street, Highfield, Timaru ",Request timed out
"24 Seddon Street, Highfield, Timaru ",Request timed out
"31 Kelvin Street, Marchwiel, Timaru ",Request timed out
"21 Rolleston Street, Watlington, Timaru ",Request timed out
"35 Regent Street, West End, Timaru ",Request timed out
"56 Racecourse Road, Washdyke, Timaru ",Request timed out
"72 Hilton Highway, Washdyke, Timaru ",Request timed out
