,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
41508,Canterbury,Selwyn,30-Aug-18,181178,14 Oaks Drive  Selwyn,14 Oaks Drive,,Lincoln,,Lot 37 DP 481794 Val-2356119837,,"$4,500.00 ",solid fuel heater
41509,Canterbury,Selwyn,30-Aug-18,181387,15A John Street  Selwyn,15A John Street,,Rolleston,,Lot 2 DP 490917 Val-2405126901,,"$4,500.00 ",solid fuel heater
41510,Canterbury,Selwyn,30-Aug-18,181390,2 Stoneleigh Drive  Selwyn,2 Stoneleigh Drive,,Rolleston,,Lot 620 DP 468876 Val-2354166442,,"$4,500.00 ",solid fuel heater
41511,Canterbury,Selwyn,30-Aug-18,181611,63 Bethany Road  Selwyn,63 Bethany Road,,Rolleston,,Lot 141 DP 484906 Val-2405545015,,"$4,500.00 ",solid fuel heater
41512,Canterbury,Selwyn,30-Aug-18,181363,24 Oates Street  Selwyn,24 Oates Street,,Lincoln,,Lot 17 DP 505326 Val-2404205100,,"$4,500.00 ",solid fuel heater
41513,Canterbury,Selwyn,30-Aug-18,180738,46 Cridges Road  Selwyn,46 Cridges Road,,Darfield,,Lot 2 DP 358412 Val-2418025200,,"$4,500.00 ",solid fuel heater
41514,Canterbury,Selwyn,30-Aug-18,181482,1 Whitney Court  Selwyn,1 Whitney Court,,Rolleston,,Lot 536 DP 476408 Val-2405653600,,"$4,500.00 ",solid fuel heater
41515,Canterbury,Selwyn,30-Aug-18,181545,32 Preston Avenue  Selwyn,32 Preston Avenue,,West Melton,,Lot 28 DP 443759 Val-2354202800,,"$4,500.00 ",solid fuel heater
41516,Canterbury,Selwyn,30-Aug-18,181612,457 Old Tai Tapu Road  Selwyn,457 Old Tai Tapu Road,,Tai Tapu,,Lot 1 DP 442318 Val-2356403701,,"$4,500.00 ",solid fuel heater
41517,Canterbury,Selwyn,30-Aug-18,181421,18 Westenras Road  Selwyn,18 Westenras Road,,Dunsandel,,Lot 1 DP 55317 Val-2412010701,,"$4,500.00 ",solid fuel heater
41519,Canterbury,Selwyn,30-Aug-18,181359,90 West Coast Road  Selwyn,90 West Coast Road,,Arthurs Pass,,SEC 12 ARTHURS PASS TSHIP BLK VI BEALEY SD Val-2427002200,,"$3,000.00 ",solid fuel heater
41521,Canterbury,Selwyn,30-Aug-18,181353,3C Dynes Road  Selwyn,3C Dynes Road,,Rolleston,,Lot 10 DP 511417 Val-2405529310,,"$3,000.00 ",solid fuel heater
41522,Canterbury,Selwyn,30-Aug-18,181449,20B Cameron Crescent  Selwyn,20B Cameron Crescent,,Rolleston,,Lot 26 DP 376322 Val-2405524126,,"$3,000.00 ",solid fuel heater
41523,Canterbury,Selwyn,30-Aug-18,181246,1256 Rakaia Terrace Road  Selwyn,1256 Rakaia Terrace Road,,Hororata,,Lot 2 DP 505311 Val-2423008100,,"$3,000.00 ",solid fuel heater
41524,Canterbury,Selwyn,30-Aug-18,181438,60 Moore Street  Selwyn,60 Moore Street,,Rolleston,,Lot 1 DP 567491 Val-2405104700A,,"$2,800.00 ",solid fuel heater
41525,Canterbury,Selwyn,30-Aug-18,181106,15 Devine Drive  Selwyn,15 Devine Drive,,Templeton,,LOT 52 DP 347066 Val-2352210752,,"$2,000.00 ",solid fuel heater
41526,Canterbury,Selwyn,30-Aug-18,181348,37 Kerrs Road  Selwyn,37 Kerrs Road,,Burnham,,Lot 7 DP 6040 Val-2354175400,,"$2,000.00 ",solid fuel heater
41688,Canterbury,Selwyn,30-Sep-18,S181758,26 Oates Street Lincoln Selwyn,26 Oates Street,Lincoln,Christchurch,,Lot 18 DP 505326,,"$6,000.00 ",solid fuel heater
41689,Canterbury,Selwyn,30-Sep-18,S181483,West Coast Road Selwyn,West Coast,Road,Christchurch,,SEC 35 ARTHURS PASS TOWNSHIP- BLK VI BEA LEY SD,,"$5,500.00 ",solid fuel heater
41691,Canterbury,Selwyn,30-Sep-18,S181703,86 Hayes Road Kirwee Selwyn,86 Hayes Road,Kirwee,Christchurch,,Lot 3 DP 78419,,"$5,000.00 ",solid fuel heater
41692,Canterbury,Selwyn,30-Sep-18,S181680,1015 Wards Road Kirwee Selwyn,1015 Wards Road,Kirwee,Christchurch,,RURAL SEC 17813 27245 27340 PT RURAL SEC  27244,,"$4,800.00 ",solid fuel heater
41693,Canterbury,Selwyn,30-Sep-18,S181573,1439B Leeston Road Doyleston Selwyn,1439B Leeston Road,Doyleston,Christchurch,,Lot 4 DP 369269,,"$4,500.00 ",solid fuel heater
41694,Canterbury,Selwyn,30-Sep-18,S181558,35 St James Street Southbridge Selwyn,35 St James Street,Southbridge,Christchurch,,Lot 1 DP 377153,,"$4,500.00 ",solid fuel heater
41695,Canterbury,Selwyn,30-Sep-18,S181656,26 D`Arcy Street Leeston 7632 Selwyn,26 D`Arcy Street,Leeston 7632,Christchurch,,Lot 8 DP 15913,,"$4,500.00 ",solid fuel heater
41696,Canterbury,Selwyn,30-Sep-18,S181644,40 William Street Prebbleton Selwyn,40 William Street,Prebbleton,Christchurch,,Lot 6 DP 36920,,"$4,500.00 ",solid fuel heater
41697,Canterbury,Selwyn,30-Sep-18,S181661,303 Christchurch Akaroa Road Tai Tapu Selwyn,303 Christchurch Akaroa Road Tai,Tapu,Christchurch,,Lot 1 DP 14338,,"$3,500.00 ",solid fuel heater
41698,Canterbury,Selwyn,30-Sep-18,S181720,73 Pacific Drive Southbridge Selwyn,73 Pacific Drive,Southbridge,Christchurch,,Lot 5 DP 6253,,"$3,000.00 ",solid fuel heater
41699,Canterbury,Selwyn,30-Sep-18,S181769,371 Springfield Road Springfield Selwyn,371 Springfield Road,Springfield,Christchurch,,Pt RS 12251 20515 BLKS XI XV KOWAI SD,,"$2,700.00 ",solid fuel heater
41700,Canterbury,Selwyn,30-Sep-18,S181776,34 Manor Drive Rolleston Selwyn,34 Manor Drive,Rolleston,Christchurch,,Lot 1 DP 440287,,"$2,500.00 ",solid fuel heater
41829,Canterbury,Selwyn,30-Sep-18,S181758,26 Oates Street Lincoln Selwyn,26 Oates Street,Lincoln,Christchurch,,Lot 18 DP 505326,,"$6,000.00 ",solid fuel heater
41830,Canterbury,Selwyn,30-Sep-18,S181483,West Coast Road Selwyn,West Coast,Road,Christchurch,,SEC 35 ARTHURS PASS TOWNSHIP- BLK VI BEA LEY SD,,"$5,500.00 ",solid fuel heater
41832,Canterbury,Selwyn,30-Sep-18,S181703,86 Hayes Road Kirwee Selwyn,86 Hayes Road,Kirwee,Christchurch,,Lot 3 DP 78419,,"$5,000.00 ",solid fuel heater
41833,Canterbury,Selwyn,30-Sep-18,S181680,1015 Wards Road Kirwee Selwyn,1015 Wards Road,Kirwee,Christchurch,,RURAL SEC 17813 27245 27340 PT RURAL SEC  27244,,"$4,800.00 ",solid fuel heater
41834,Canterbury,Selwyn,30-Sep-18,S181573,1439B Leeston Road Doyleston Selwyn,1439B Leeston Road,Doyleston,Christchurch,,Lot 4 DP 369269,,"$4,500.00 ",solid fuel heater
41835,Canterbury,Selwyn,30-Sep-18,S181558,35 St James Street Southbridge Selwyn,35 St James Street,Southbridge,Christchurch,,Lot 1 DP 377153,,"$4,500.00 ",solid fuel heater
41836,Canterbury,Selwyn,30-Sep-18,S181656,26 D`Arcy Street Leeston 7632 Selwyn,26 D`Arcy Street,Leeston 7632,Christchurch,,Lot 8 DP 15913,,"$4,500.00 ",solid fuel heater
41837,Canterbury,Selwyn,30-Sep-18,S181644,40 William Street Prebbleton Selwyn,40 William Street,Prebbleton,Christchurch,,Lot 6 DP 36920,,"$4,500.00 ",solid fuel heater
41838,Canterbury,Selwyn,30-Sep-18,S181661,303 Christchurch Akaroa Road Tai Tapu Selwyn,303 Christchurch Akaroa Road Tai,Tapu,Christchurch,,Lot 1 DP 14338,,"$3,500.00 ",solid fuel heater
41839,Canterbury,Selwyn,30-Sep-18,S181720,73 Pacific Drive Southbridge Selwyn,73 Pacific Drive,Southbridge,Christchurch,,Lot 5 DP 6253,,"$3,000.00 ",solid fuel heater
41840,Canterbury,Selwyn,30-Sep-18,S181769,371 Springfield Road Springfield Selwyn,371 Springfield Road,Springfield,Christchurch,,Pt RS 12251 20515 BLKS XI XV KOWAI SD,,"$2,700.00 ",solid fuel heater
41841,Canterbury,Selwyn,30-Sep-18,S181776,34 Manor Drive Rolleston Selwyn,34 Manor Drive,Rolleston,Christchurch,,Lot 1 DP 440287,,"$2,500.00 ",solid fuel heater
41983,Canterbury,Selwyn,30-Oct-18,S181066,6/135 Johnson Road  Selwyn,6/135 Johnson Road,,West Melton,  ,Lot 2 DP 475835,,25000,pergola & outdoor solid fuel heater
41992,Canterbury,Selwyn,30-Oct-18,S182005,7 Rosamond Way  Selwyn,7 Rosamond Way,,Rolleston,  ,Lot 201 DP 467539,,9150,solid fuel heater
41994,Canterbury,Selwyn,30-Oct-18,S181752,81 Edward Street  Selwyn,81 Edward Street,,Lincoln,  ,Lot 355 DP 472675,,6000,solid fuel heater
41995,Canterbury,Selwyn,30-Oct-18,S181762,633 Springs Road  Selwyn,633 Springs Road,,Prebbleton,  ,Lot 2 DP 48383,,5000,solid fuel heater
41996,Canterbury,Selwyn,30-Oct-18,S181800,14E Vivaldi Lane  Selwyn,14E Vivaldi Lane,,Rolleston,  ,Lot 8 DP 432248,,4500,solid fuel heater
41997,Canterbury,Selwyn,30-Oct-18,S181730,2/1411 North Rakaia Road  Selwyn,2/1411 North Rakaia Road,,Southbridge,  ,Part Res 1376,,4500,solid fuel heater
41998,Canterbury,Selwyn,30-Oct-18,S181518,1358 West Coast Road  Selwyn,1358 West Coast Road,,West Melton,  ,Lot 1 DP 356860,,4000,solid fuel heater
41999,Canterbury,Selwyn,30-Oct-18,S181866,15 Leeston Dunsandel Road  Selwyn,15 Leeston Dunsandel Road,,Leeston,  ,Lot 30 DP 37985,,3900,solid fuel heater
42002,Canterbury,Selwyn,30-Oct-18,S181811,108 Lowes Road  Selwyn,108 Lowes Road,,Rolleston,  ,Lot 82 DP 81130,,3000,solid fuel heater
42160,Canterbury,Selwyn,30-Nov-18,S182066,28 Lowes Road Rolleston Selwyn,28 Lowes Road,Rolleston,,  ,Lot 22 DP 72779,,4500,solid fuel heater
42161,Canterbury,Selwyn,30-Nov-18,S182050,555 Collins Road Springston Selwyn,555 Collins Road,Springston,,  ,Lot 1 DP 30246,,4000,solid fuel heater
42163,Canterbury,Selwyn,30-Nov-18,S182035,21 Leeston Dunsandel Road Dunsandel Selwyn,21 Leeston Dunsandel Road,Dunsandel,,  ,Pt R S 7792 Blk V111 Selwyn S,,2000,solid fuel heater
42291,Canterbury,Selwyn,30-Dec-18,S182191,7 Kea Street  Selwyn,7 Kea Street,,Burnham,  ,Res 1159 1176 Pt 1160 Pt Rural Sec 13523  Blk Ii Leeston Sd-Burnham Military Camp,,6000,solid fuel heater
42293,Canterbury,Selwyn,30-Dec-18,S182140,115 Crusher Loop  Selwyn,115 Crusher Loop,,Arthur`s Pass,  ,Sec 3 So 19713 Blk Vi Bealey Sd,,4500,solid fuel heater
42294,Canterbury,Selwyn,30-Dec-18,S182187,127 High Street  Selwyn,127 High Street,,Southbridge,  ,Lot 1 DP 35075,,4500,solid fuel heater
42299,Canterbury,Timaru,3-Apr-18,Tm00002047  2017,2 Waitaki Street Timaru Timaru,2 Waitaki Street,Timaru,7910,,Lot: 1 DP: 27901,,"$5,000.00 ",install woodsman ecr novo freestanding woodburner
42300,Canterbury,Timaru,3-Apr-18,Tm00001989  2017,25 Hassall Street Timaru Timaru,25 Hassall Street,Timaru,7910,,LOT: 18 DP: 10699,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42301,Canterbury,Timaru,3-Apr-18,Tm00000148  2018,71 Main North Road Geraldine Timaru,71 Main North Road,Geraldine,7930,,Lot: 2 DP: 25133,,"$5,000.00 ",install masport r1500 freestanding woodburner
42302,Canterbury,Timaru,3-Apr-18,Tm00000241  2018,16 Harper Street Timaru Timaru,16 Harper Street,Timaru,7910,,LOT: 10 DP: 2666,,"$5,000.00 ",install metro wee rad freestanding woodburner
42306,Canterbury,Timaru,3-Apr-18,Tm00002047  2017,2 Waitaki Street Timaru Timaru,2 Waitaki Street,Timaru,7910,,Lot: 1 DP: 27901,,"$5,000.00 ",install woodsman ecr novo freestanding woodburner
42307,Canterbury,Timaru,3-Apr-18,Tm00001989  2017,25 Hassall Street Timaru Timaru,25 Hassall Street,Timaru,7910,,LOT: 18 DP: 10699,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42308,Canterbury,Timaru,3-Apr-18,Tm00000148  2018,71 Main North Road Geraldine Timaru,71 Main North Road,Geraldine,7930,,Lot: 2 DP: 25133,,"$5,000.00 ",install masport r1500 freestanding woodburner
42309,Canterbury,Timaru,3-Apr-18,Tm00000241  2018,16 Harper Street Timaru Timaru,16 Harper Street,Timaru,7910,,LOT: 10 DP: 2666,,"$5,000.00 ",install metro wee rad freestanding woodburner
42311,Canterbury,Timaru,4-Apr-18,Tm00001684  2017,17 Ayr Street Timaru Timaru,17 Ayr Street,Timaru,7910,,LOT: 107 DP: 19379,,"$5,000.00 ",install metro wee rad woody freestanding woodburner
42312,Canterbury,Timaru,4-Apr-18,Tm00000247  2018,42 Shaw Street Temuka Timaru,42 Shaw Street,Temuka,7920,,Lot: 4 DP: 24228,,"$5,000.00 ",install masport r5000p freestanding wetback woodburner
42313,Canterbury,Timaru,4-Apr-18,Tm00002129  2017,46 Wilson Street Timaru Timaru,46 Wilson Street,Timaru,7910,,PLT: 12 DP: 1086,,"$5,000.00 ",install masport osburn 1600 mk ii wetback freestanding woodburner
42314,Canterbury,Timaru,4-Apr-18,Tm00000233  2018,112 Coonoor Road Timaru Timaru,112 Coonoor Road,Timaru,7910,,Lot: 1 DP: 50497,,"$5,000.00 ",install masport mackenzie r10000 freestanding woodburner
42316,Canterbury,Timaru,4-Apr-18,Tm00001684  2017,17 Ayr Street Timaru Timaru,17 Ayr Street,Timaru,7910,,LOT: 107 DP: 19379,,"$5,000.00 ",install metro wee rad woody freestanding woodburner
42317,Canterbury,Timaru,4-Apr-18,Tm00000247  2018,42 Shaw Street Temuka Timaru,42 Shaw Street,Temuka,7920,,Lot: 4 DP: 24228,,"$5,000.00 ",install masport r5000p freestanding wetback woodburner
42318,Canterbury,Timaru,4-Apr-18,Tm00002129  2017,46 Wilson Street Timaru Timaru,46 Wilson Street,Timaru,7910,,PLT: 12 DP: 1086,,"$5,000.00 ",install masport osburn 1600 mk ii wetback freestanding woodburner
42319,Canterbury,Timaru,4-Apr-18,Tm00000233  2018,112 Coonoor Road Timaru Timaru,112 Coonoor Road,Timaru,7910,,Lot: 1 DP: 50497,,"$5,000.00 ",install masport mackenzie r10000 freestanding woodburner
42321,Canterbury,Timaru,5-Apr-18,Tm00001652  2017,7 Pukatea Street Timaru Timaru,7 Pukatea Street,Timaru,7910,,LOT: 1 DP: 19809,,"$5,000.00 ",install woodsman totara inbuilt woodburner
42322,Canterbury,Timaru,5-Apr-18,Tm00000263  2018,30 Harris Street Pleasant Point Timaru,30 Harris Street,Pleasant Point,7903,,Lot: 110 DP: 5,,"$5,000.00 ",install woodsman ecr novo freestanding woodburner
42323,Canterbury,Timaru,5-Apr-18,Tm00002093  2017,12 Kowhai Street Timaru Timaru,12 Kowhai Street,Timaru,7910,,LOT: 5 DP: 23905,,"$5,000.00 ",install jayline is550 inbuilt woodburner
42324,Canterbury,Timaru,5-Apr-18,Tm00000264  2018,194 Winchester-Geraldine Road Geraldine Timaru,194 Winchester-Geraldine Road,Geraldine,7992,,RS: 15082,,"$5,000.00 ",install metro xtreme rad freestanding wetback woodburner
42325,Canterbury,Timaru,5-Apr-18,Tm00000260  2018,107 Oak Street Orari Timaru,107 Oak Street,Orari,7992,,SEC: 10 SUF: BLK VII TN OF ORARI,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42326,Canterbury,Timaru,5-Apr-18,Tm00000221  2018,1206 Peel Forest Road Peel Timaru,1206 Peel Forest Road,Peel,7992,,Lot: 4 DP: 92,,"$5,000.00 ",install masport r5000 freestanding woodburner
42327,Canterbury,Timaru,5-Apr-18,Tm00001729  2017,50A Selwyn Street Timaru Timaru,50A Selwyn Street,Timaru,7910,,Lot: 18 DP: 1733,,"$5,000.00 ",install masport minos 2 clean air freestanding woodburner
42328,Canterbury,Timaru,5-Apr-18,Tm00002041  2017,35 MacAulay Street Timaru Timaru,35 MacAulay Street,Timaru,7910,,Lot: 21 DP: 34801,,"$5,000.00 ",install jayline fr300 freestanding woodburner
42330,Canterbury,Timaru,5-Apr-18,Tm00001652  2017,7 Pukatea Street Timaru Timaru,7 Pukatea Street,Timaru,7910,,LOT: 1 DP: 19809,,"$5,000.00 ",install woodsman totara inbuilt woodburner
42331,Canterbury,Timaru,5-Apr-18,Tm00000263  2018,30 Harris Street Pleasant Point Timaru,30 Harris Street,Pleasant Point,7903,,Lot: 110 DP: 5,,"$5,000.00 ",install woodsman ecr novo freestanding woodburner
42332,Canterbury,Timaru,5-Apr-18,Tm00002093  2017,12 Kowhai Street Timaru Timaru,12 Kowhai Street,Timaru,7910,,LOT: 5 DP: 23905,,"$5,000.00 ",install jayline is550 inbuilt woodburner
42333,Canterbury,Timaru,5-Apr-18,Tm00000264  2018,194 Winchester-Geraldine Road Geraldine Timaru,194 Winchester-Geraldine Road,Geraldine,7992,,RS: 15082,,"$5,000.00 ",install metro xtreme rad freestanding wetback woodburner
42334,Canterbury,Timaru,5-Apr-18,Tm00000260  2018,107 Oak Street Orari Timaru,107 Oak Street,Orari,7992,,SEC: 10 SUF: BLK VII TN OF ORARI,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42335,Canterbury,Timaru,5-Apr-18,Tm00000221  2018,1206 Peel Forest Road Peel Timaru,1206 Peel Forest Road,Peel,7992,,Lot: 4 DP: 92,,"$5,000.00 ",install masport r5000 freestanding woodburner
42336,Canterbury,Timaru,5-Apr-18,Tm00001729  2017,50A Selwyn Street Timaru Timaru,50A Selwyn Street,Timaru,7910,,Lot: 18 DP: 1733,,"$5,000.00 ",install masport minos 2 clean air freestanding woodburner
42337,Canterbury,Timaru,5-Apr-18,Tm00002041  2017,35 MacAulay Street Timaru Timaru,35 MacAulay Street,Timaru,7910,,Lot: 21 DP: 34801,,"$5,000.00 ",install jayline fr300 freestanding woodburner
42341,Canterbury,Timaru,6-Apr-18,Tm00000182  2018,84 Lindsay Street Timaru Timaru,84 Lindsay Street,Timaru,7910,,Lot: 61 DP: 36954,,"$5,000.00 ",install metro xtreme ped freestanding woodburner
42342,Canterbury,Timaru,6-Apr-18,Tm00000184  2018,63 Murray Street Temuka Timaru,63 Murray Street,Temuka,7920,,Lot: 3 DP: 25869,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42343,Canterbury,Timaru,6-Apr-18,Tm00000183  2018,575 Waipopo Road Timaru Timaru,575 Waipopo Road,Timaru,7973,,Lot: 8 DP: 30624,,"$5,000.00 ",install metro wee rad freestanding woodburner
42348,Canterbury,Timaru,6-Apr-18,Tm00000182  2018,84 Lindsay Street Timaru Timaru,84 Lindsay Street,Timaru,7910,,Lot: 61 DP: 36954,,"$5,000.00 ",install metro xtreme ped freestanding woodburner
42349,Canterbury,Timaru,6-Apr-18,Tm00000184  2018,63 Murray Street Temuka Timaru,63 Murray Street,Temuka,7920,,Lot: 3 DP: 25869,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42350,Canterbury,Timaru,6-Apr-18,Tm00000183  2018,575 Waipopo Road Timaru Timaru,575 Waipopo Road,Timaru,7973,,Lot: 8 DP: 30624,,"$5,000.00 ",install metro wee rad freestanding woodburner
42355,Canterbury,Timaru,9-Apr-18,Tm00000262  2018,35 Allnatt Street Temuka Timaru,35 Allnatt Street,Temuka,7920,,Lot: 282 DP: 25,,"$5,000.00 ",install woodsman tasman dry mkii freestanding woodburner
42356,Canterbury,Timaru,9-Apr-18,Tm00001975  2017,38 Morgans Road Timaru Timaru,38 Morgans Road,Timaru,7910,,Lot: 8 DP: 24426,,"$5,000.00 ",install masport bannockburn i2000 inbuilt woodburner
42357,Canterbury,Timaru,9-Apr-18,Tm00000274  2018,590 Waipopo Road Timaru Timaru,590 Waipopo Road,Timaru,7973,,Lot: 1 DP: 59429,,"$5,000.00 ",install masport r1500 freestanding woodburner (hut 11)
42362,Canterbury,Timaru,9-Apr-18,Tm00000262  2018,35 Allnatt Street Temuka Timaru,35 Allnatt Street,Temuka,7920,,Lot: 282 DP: 25,,"$5,000.00 ",install woodsman tasman dry mkii freestanding woodburner
42363,Canterbury,Timaru,9-Apr-18,Tm00001975  2017,38 Morgans Road Timaru Timaru,38 Morgans Road,Timaru,7910,,Lot: 8 DP: 24426,,"$5,000.00 ",install masport bannockburn i2000 inbuilt woodburner
42364,Canterbury,Timaru,9-Apr-18,Tm00000274  2018,590 Waipopo Road Timaru Timaru,590 Waipopo Road,Timaru,7973,,Lot: 1 DP: 59429,,"$5,000.00 ",install masport r1500 freestanding woodburner (hut 11)
42366,Canterbury,Timaru,10-Apr-18,Tm00000223  2018,30D Lazarette Loop Timaru Timaru,30D Lazarette Loop,Timaru,7910,,LOT: 3 DP: 505299,,"$485,000.00 ",erect dwelling with attached garage & install harris ferva saturn freestanding woodburner
42367,Canterbury,Timaru,10-Apr-18,Tm00000162  2018,124 Orari Station Road Orari Timaru,124 Orari Station Road,Orari,7992,,Res: 2908,,"$30,000.00 ",dwelling alterations & install metro xtreme rad freestanding woodburner
42371,Canterbury,Timaru,10-Apr-18,Tm00000223  2018,30D Lazarette Loop Timaru Timaru,30D Lazarette Loop,Timaru,7910,,LOT: 3 DP: 505299,,"$485,000.00 ",erect dwelling with attached garage & install harris ferva saturn freestanding woodburner
42372,Canterbury,Timaru,10-Apr-18,Tm00000162  2018,124 Orari Station Road Orari Timaru,124 Orari Station Road,Orari,7992,,Res: 2908,,"$30,000.00 ",dwelling alterations & install metro xtreme rad freestanding woodburner
42379,Canterbury,Timaru,11-Apr-18,Tm00000281  2018,293 King Street Temuka Timaru,293 King Street,Temuka,7920,,Lot: 1 DP: 69959,,"$5,000.00 ",install woodsman brunner dry mkii freestanding woodburner
42380,Canterbury,Timaru,11-Apr-18,Tm00001862  2017,7 Maltby Avenue Timaru Timaru,7 Maltby Avenue,Timaru,7910,,LOT: 1 DP: 8238,,"$5,000.00 ",install bosca limit 30 freestanding woodburner
42384,Canterbury,Timaru,11-Apr-18,Tm00000281  2018,293 King Street Temuka Timaru,293 King Street,Temuka,7920,,Lot: 1 DP: 69959,,"$5,000.00 ",install woodsman brunner dry mkii freestanding woodburner
42385,Canterbury,Timaru,11-Apr-18,Tm00001862  2017,7 Maltby Avenue Timaru Timaru,7 Maltby Avenue,Timaru,7910,,LOT: 1 DP: 8238,,"$5,000.00 ",install bosca limit 30 freestanding woodburner
42390,Canterbury,Timaru,12-Apr-18,Tm00001922  2017,8 Market Street Timaru Timaru,8 Market Street,Timaru,7910,,LOT: 1 DP: 479085,,"$5,000.00 ",install woodsman tasman mkii freestanding woodburner
42391,Canterbury,Timaru,12-Apr-18,Tm00000165  2018,74 Peel Street Geraldine Timaru,74 Peel Street,Geraldine,7930,,Lot: 3 DP: 17989,,"$5,000.00 ",install metro xtreme rad freestanding woodburner
42392,Canterbury,Timaru,12-Apr-18,Tm00000287  2018,91 Pye Road Geraldine Timaru,91 Pye Road,Geraldine,7991,,Lot: 4 DP: 41400,,"$5,000.00 ",install woodsman tasman mkii freestanding woodburner
42393,Canterbury,Timaru,12-Apr-18,Tm00000271  2018,9 Richmond Street Timaru Timaru,9 Richmond Street,Timaru,7910,,Lot: 2 DP: 15640,,"$5,000.00 ",install harris ferva saturn freestanding woodburner
42394,Canterbury,Timaru,12-Apr-18,Tm00000278  2018,19 Rocky Hundreds Road Timaru Timaru,19 Rocky Hundreds Road,Timaru,7972,,Lot: 21 DP: 3306,,"$5,000.00 ",install masport osburn 1600 mkii freestanding wetback woodburner
42400,Canterbury,Timaru,12-Apr-18,Tm00001922  2017,8 Market Street Timaru Timaru,8 Market Street,Timaru,7910,,LOT: 1 DP: 479085,,"$5,000.00 ",install woodsman tasman mkii freestanding woodburner
42401,Canterbury,Timaru,12-Apr-18,Tm00000165  2018,74 Peel Street Geraldine Timaru,74 Peel Street,Geraldine,7930,,Lot: 3 DP: 17989,,"$5,000.00 ",install metro xtreme rad freestanding woodburner
42402,Canterbury,Timaru,12-Apr-18,Tm00000287  2018,91 Pye Road Geraldine Timaru,91 Pye Road,Geraldine,7991,,Lot: 4 DP: 41400,,"$5,000.00 ",install woodsman tasman mkii freestanding woodburner
42403,Canterbury,Timaru,12-Apr-18,Tm00000271  2018,9 Richmond Street Timaru Timaru,9 Richmond Street,Timaru,7910,,Lot: 2 DP: 15640,,"$5,000.00 ",install harris ferva saturn freestanding woodburner
42404,Canterbury,Timaru,12-Apr-18,Tm00000278  2018,19 Rocky Hundreds Road Timaru Timaru,19 Rocky Hundreds Road,Timaru,7972,,Lot: 21 DP: 3306,,"$5,000.00 ",install masport osburn 1600 mkii freestanding wetback woodburner
42410,Canterbury,Timaru,13-Apr-18,Tm00000289  2018,236 Selwyn Street Timaru Timaru,236 Selwyn Street,Timaru,7910,,Lot: 23 DP: 13660,,"$5,000.00 ",install woodsman totara inbuilt woodburner
42411,Canterbury,Timaru,13-Apr-18,Tm00000276  2018,26 Connolly Street Geraldine Timaru,26 Connolly Street,Geraldine,7930,,Lot: 2 DP: 17686,,"$5,000.00 ",install metro wee rad freestanding woodburner
42412,Canterbury,Timaru,13-Apr-18,Tm00000275  2018,24 Forest Road Geraldine Timaru,24 Forest Road,Geraldine,7930,,Lot: 4 DP: 41175,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42417,Canterbury,Timaru,13-Apr-18,Tm00000289  2018,236 Selwyn Street Timaru Timaru,236 Selwyn Street,Timaru,7910,,Lot: 23 DP: 13660,,"$5,000.00 ",install woodsman totara inbuilt woodburner
42418,Canterbury,Timaru,13-Apr-18,Tm00000276  2018,26 Connolly Street Geraldine Timaru,26 Connolly Street,Geraldine,7930,,Lot: 2 DP: 17686,,"$5,000.00 ",install metro wee rad freestanding woodburner
42419,Canterbury,Timaru,13-Apr-18,Tm00000275  2018,24 Forest Road Geraldine Timaru,24 Forest Road,Geraldine,7930,,Lot: 4 DP: 41175,,"$5,000.00 ",install metro eco smart inbuilt woodburner
42423,Canterbury,Timaru,16-Apr-18,Tm00000290  2018,44 Denmark Street Temuka Timaru,44 Denmark Street,Temuka,7920,,Lot: 1 DP: 11540,,"$5,000.00 ",install yunca xander insert (ca sub 1.0) inbuilt woodburner
42424,Canterbury,Timaru,16-Apr-18,Tm00000288  2018,57 Studholme Street Temuka Timaru,57 Studholme Street,Temuka,7920,,Lot: 2 DP: 22069,,"$5,000.00 ",install masport r1500 freestanding woodburner
42428,Canterbury,Timaru,16-Apr-18,Tm00000290  2018,44 Denmark Street Temuka Timaru,44 Denmark Street,Temuka,7920,,Lot: 1 DP: 11540,,"$5,000.00 ",install yunca xander insert (ca sub 1.0) inbuilt woodburner
42429,Canterbury,Timaru,16-Apr-18,Tm00000288  2018,57 Studholme Street Temuka Timaru,57 Studholme Street,Temuka,7920,,Lot: 2 DP: 22069,,"$5,000.00 ",install masport r1500 freestanding woodburner
42437,Canterbury,Timaru,18-Apr-18,Tm00000279  2018,97 Princes Street Temuka Timaru,97 Princes Street,Temuka,7920,,Lot: 3 DP: 13236,,"$5,000.00 ",install metro eco tiny ped freestanding woodburner
42440,Canterbury,Timaru,18-Apr-18,Tm00000279  2018,97 Princes Street Temuka Timaru,97 Princes Street,Temuka,7920,,Lot: 3 DP: 13236,,"$5,000.00 ",install metro eco tiny ped freestanding woodburner
