,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
63275,Marlborough,Marlborough,30-Apr-18,MbBC180448,16 A Fyffe Street Blenheim Marlborough,16 A Fyffe Street,Blenheim,,,,,"$3,800.00 ",free-standing metro wee rad base log fire
63276,Marlborough,Marlborough,30-Apr-18,MbBC180476,11 Hillcrest Avenue Blenheim Marlborough,11 Hillcrest Avenue,Blenheim,,,,,"$3,800.00 ",free-standing metro wee rad log fire
63277,Marlborough,Marlborough,30-Apr-18,MbBC180506,492 Middle Renwick Road Rapaura Marlborough,492 Middle Renwick Road,Rapaura,,,,,"$3,800.00 ",free-standing metro wee rad log fire
63278,Marlborough,Marlborough,30-Apr-18,MbBC180487,28 B Uxbridge Street Renwick Marlborough,28 B Uxbridge Street,Renwick,,,,,"$3,700.00 ",free-standing masport r1500 ped log fire
63279,Marlborough,Marlborough,30-Apr-18,MbBC180478,129 B Queen Charlotte Drive Havelock Rural Marlborough,129 B Queen Charlotte Drive,Havelock Rural,,,,,"$3,600.00 ",free-standing firenzo vision log fire
63280,Marlborough,Marlborough,30-Apr-18,MbBC180460,15 Hiley Street Blenheim Marlborough,15 Hiley Street,Blenheim,,,,,"$3,500.00 ",inbuilt woodsman totara log fire
63282,Marlborough,Marlborough,30-Apr-18,MbBC180420,55 Forest Park Drive Blenheim Marlborough,55 Forest Park Drive,Blenheim,,,,,"$3,500.00 ",free standing woodsman aspen log fire
63283,Marlborough,Marlborough,30-Apr-18,MbBC180432,198 Mills and Ford Road East Rapaura Marlborough,198 Mills and Ford Road East,Rapaura,,,,,"$3,500.00 ",free-standing woodsman brunner mk ii log fire
63284,Marlborough,Marlborough,30-Apr-18,MbBC180467,111 Alfred Street Blenheim Marlborough,111 Alfred Street,Blenheim,,,,,"$3,500.00 ",free-standing masport r5000l log fire
63285,Marlborough,Marlborough,30-Apr-18,MbBC180528,33 David Street Blenheim Marlborough,33 David Street,Blenheim,,,,,"$3,500.00 ",free-standing woodsman brunner mk ii log fire
63286,Marlborough,Marlborough,30-Apr-18,MbBC180431,77 Stephenson Street Blenheim Marlborough,77 Stephenson Street,Blenheim,,,,,"$3,500.00 ",free-standing woodsman brunner mk ii log fire
63287,Marlborough,Marlborough,30-Apr-18,MbBC180498,54 E McLauchlan Street Blenheim Marlborough,54 E McLauchlan Street,Blenheim,,,,,"$3,500.00 ",free-standing woodsman brunner mk ii log fire
63288,Marlborough,Marlborough,30-Apr-18,MbBC180425,Seniors Road Wairau Valley Marlborough,Seniors Road,Wairau Valley,,,,,"$3,500.00 ",free-standing masport r1600 log fire
63289,Marlborough,Marlborough,30-Apr-18,MbBC180398,106 Scott Street Blenheim Marlborough,106 Scott Street,Blenheim,,,,,"$3,500.00 ",free standing woodsman brunner mk11 log fire
63290,Marlborough,Marlborough,30-Apr-18,MbBC180516,Bay Of Many Coves Queen Charlotte Sound / Marlborough,Bay Of Many Coves,Queen Charlotte Sound /,,,,,"$3,500.00 ",inbuilt masport bannockburn i2000 log fire with wetback
63291,Marlborough,Marlborough,30-Apr-18,MbBC180454,2763 SH 63 Wairau Valley Marlborough,2763 SH 63,Wairau Valley,,,,,"$3,489.00 ",free standing metro ltd wee rad log fire
63292,Marlborough,Marlborough,30-Apr-18,MbBC180408,1550 Avon Valley Road Waihopai Marlborough,1550 Avon Valley Road,Waihopai,,,,,"$3,200.00 ",free-standing metro ltd xtreme rad log fire
