WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.0551142667 -44.7368267),122599,1782127,32357,"38 High Street, Waimate",38,38,,High Street,Waimate,Waimate District,High Street,"38 High Street, Waimate",Waimate,171.05511426700002,-44.7368267
POINT (171.1381233667 -44.63104225),123478,1782293,47468,"14 Meehan Place, Makikihi",14,14,,Meehan Place,Makikihi,Waimate District,Meehan Place,"14 Meehan Place, Makikihi",Makikihi,171.13812336700002,-44.63104225
POINT (171.1863587333 -44.5334265333),124303,3052729,56101,"89 Waimate Highway, Saint Andrews",89,89,,Waimate Highway,Saint Andrews,Waimate District,Waimate Highway,"89 Waimate Highway, Saint Andrews",Saint Andrews,171.186358733,-44.5334265333
POINT (170.8035308833 -44.8690986167),579255,3041498,281913,"2958 Hakataramea Highway, Ikawai",2958,2958,,Hakataramea Highway,Ikawai,Waimate District,Hakataramea Highway,"2958 Hakataramea Highway, Ikawai",Ikawai,170.80353088299998,-44.8690986167
POINT (170.590902 -44.659042),947561,3060426,32420,"1272 Hakataramea Valley Road, Hakataramea Valley",1272,1272,,Hakataramea Valley Road,Hakataramea Valley,Waimate District,Hakataramea Valley Road,"1272 Hakataramea Valley Road, Hakataramea Valley",Hakataramea Valley,170.590902,-44.659042
POINT (171.074655 -44.78143),947926,1786590,34352,"42 Pauls Road, Waimate",42,42,,Pauls Road,Waimate,Waimate District,Pauls Road,"42 Pauls Road, Waimate",Waimate,171.074655,-44.78143
POINT (171.0028007667 -44.8169490333),947943,1786798,50282,"228 Wallace Road, Ikawai",228,228,,Wallace Road,Ikawai,Waimate District,Wallace Road,"228 Wallace Road, Ikawai",Ikawai,171.002800767,-44.8169490333
POINT (171.114286 -44.7754),948095,1786577,37585,"85 Willowbridge Settlement Road, Waimate",85,85,,Willowbridge Settlement Road,Waimate,Waimate District,Willowbridge Settlement Road,"85 Willowbridge Settlement Road, Waimate",Waimate,171.11428600000002,-44.7754
POINT (171.0993407667 -44.7148858333),948194,3068003,47071,"427 Timaru Road, Waimate",427,427,,Timaru Road,Waimate,Waimate District,Timaru Road,"427 Timaru Road, Waimate",Waimate,171.099340767,-44.7148858333
POINT (171.147968 -44.526083),949510,3042767,54745,"347 Blue Cliffs Road, Saint Andrews",347,347,,Blue Cliffs Road,Saint Andrews,Waimate District,Blue Cliffs Road,"347 Blue Cliffs Road, Saint Andrews",Saint Andrews,171.147968,-44.526083
