id,address,boolean
3022,"48 Main North Road, Woodend",Request timed out
3027,"17 Feldwick Drive, Kaiapoi",Request timed out
3029,"127 Sewell Street, Kaiapoi",Request timed out
3030,"129 Sewell Street, Kaiapoi",Request timed out
3036,"47 Kings Avenue, Waikuku Beach",Request timed out
3038,"131 Park Terrace, Waikuku Beach",Request timed out
3042,"43 Blackadder Road, Pegasus",Request timed out
3077,"21 Lancewood Way, Rangiora",Request timed out
3081,"40 Main Street, Oxford",Request timed out
3082,"153 High Street, Oxford",Request timed out
3084,"16 Main Street, Oxford",Request timed out
3108,"50 Oakwood Drive, Rangiora",Request timed out
3111,"31 Maple Place, Rangiora",Request timed out
3112,"2 Mara-kai Place, Pegasus",Request timed out
3126,"66 Sovereign Boulevard, Kaiapoi",Request timed out
3132,"36 Blackburn Street, Kaiapoi",Request timed out
3141,"24 Watkins Drive, Rangiora",Request timed out
3147,"10 Buller Street, Sefton",Request timed out
3150,"11 Blair Place, Kaiapoi",Request timed out
3151,"14 Blair Place, Kaiapoi",Request timed out
3154,"2 Willowby Lane, Rangiora",Request timed out
3161,"200 Woodside Road, Oxford",Request timed out
3185,"12 Stone Eyre Place, Swannanoa",Request timed out
3203,"5 Will Place, Rangiora",Request timed out
3206,"11 Country Lane, Rangiora",Request timed out
3230,"30 Island Road, Clarkville",Request timed out
3233,"11 Cumberland Place, Kaiapoi",Request timed out
3239,"65 Whitefield Street, Kaiapoi",Request timed out
3240,"15 Carew Street, Kaiapoi",Request timed out
3246,"16 Welsford Street, Woodend",Request timed out
3247,"18 The Stables, Woodend",Request timed out
3250,"91 Hilton Street, Kaiapoi",Request timed out
3251,"94 Charles Street, Kaiapoi",Request timed out
3269,"24 Parkinson Place, Woodend",Request timed out
3270,"18 Parkinson Place, Woodend",Request timed out
3275,"4 The Oaks, Kaiapoi",Request timed out
3282,"76 Tutaipatu Avenue, Pegasus",Request timed out
3285,"13 Railway Road, Rangiora",Request timed out
3296,"10A Goodwood Close, Rangiora",Request timed out
3299,"51A Ashley Street, Rangiora",Request timed out
3300,"10A Murray Street, Rangiora",Request timed out
3305,"16A Wesley Street, Kaiapoi",Request timed out
3308,"35B Wesley Street, Kaiapoi",Request timed out
3327,"18 Mara-kai Place, Pegasus",Request timed out
3332,"122 Mandeville Road, Swannanoa",Request timed out
3339,"12 Wyatt Street, Kaiapoi",Request timed out
3344,"107 Baynons Road, Clarkville",Request timed out
3353,"16 Chesterfield Place, Rangiora",Request timed out
3354,"22 Chesterfield Place, Rangiora",Request timed out
3377,"34 Park Avenue, Oxford",Request timed out
3392,"21 Winter Road, Swannanoa",Request timed out
3396,"225 Mandeville Road, Swannanoa",Request timed out
3398,"18 Carmana Gardens, Rangiora",Request timed out
3402,"54 Pentecost Road, Rangiora",Request timed out
3405,"23 Kingsbury Avenue, Rangiora",Request timed out
3407,"43 Kingsbury Avenue, Rangiora",Request timed out
3411,"22 Charles Street, Rangiora",Request timed out
