,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13441,,Christchurch ,23/03/15,C2015/2523,33 Hooker Avenue Bryndwr   Christchurch ,33 Hooker Avenue,Bryndwr, ,Lot 218 DP 19547,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13442,,Christchurch ,23/03/15,C2015/2524,37 Hooker Avenue Bryndwr   Christchurch ,37 Hooker Avenue,Bryndwr, ,Lot 216 DP 19547,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13443,,Christchurch ,23/03/15,C2015/2528,41 Hooker Avenue Bryndwr   Christchurch ,41 Hooker Avenue,Bryndwr, ,Lot 214 DP 19547,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13444,,Christchurch ,23/03/15,C2015/2527,60 Hooker Avenue Bryndwr   Christchurch ,60 Hooker Avenue,Bryndwr, ,Lot 28 DP 19547,"5,000",dwelling alteration - woodsman totara fireplace insert dry wood burner cac110220
13451,,Christchurch ,23/03/15,C2015/2501,11 McLeod Street Richmond   Christchurch ,11 McLeod Street,Richmond, ,Flat 3 DP 26972 on Lot 8 DP 2740 having share in 728 m2,"4,500",dwelling alterations - installation of masport i300 fireplace insert dry wood burner cac103869
13453,,Christchurch ,23/03/15,C2015/2513,30 Bretts Road St Albans   Christchurch ,30 Bretts Road,St Albans, ,Pt Lot 9 DP 3853,"4,500",dwelling alteration -  installation woodsman tarras wetback mkiii freestanding woodburner cac143494
13477,,Christchurch ,23/03/15,C2015/2105,4 Sunbeam Place Oaklands   Christchurch ,4 Sunbeam Place,Oaklands, ,Lot 24 DP 47579,"5,000",dwelling alteration - installation of masport r5000 p free standing dry wood burner  cac 131295
13481,,Christchurch ,24/03/15,C2015/2530,48 Truman Road Bryndwr   Christchurch ,48 Truman Road,Bryndwr, ,Lot 88 DP 16039,"5,000",dwelling alterations - installation of woodsman totara fireplace insert dry wood burner cac 110220
13482,,Christchurch ,24/03/15,C2015/2406,445 Kainga Road Brooklands   Christchurch ,445 Kainga Road,Brooklands, ,Lot 14 DP 10499,"5,000",dwelling alteration - installation of masport r5000p freestanding dry wood burner cac#131556
13483,,Christchurch ,24/03/15,C2015/2495,854 Halswell Junction Road Islington   Christchurch ,854 Halswell Junction Road,Islington, ,Lot 2 DP 30551,"8,000",dwelling alterations - installation of woodsman ecr novo freestanding wood burner cac153733
13484,,Christchurch ,24/03/15,C2015/2579,8 Rawhiti Street Diamond Harbour   Christchurch ,8 Rawhiti Street,Diamond Harbour, ,Lot 11 DP 13976,"2,200",dwelling alteration - installation of masport r5000l freestanding dry woodburner cac - 131295
13485,,Christchurch ,24/03/15,C2015/2496,632 Gloucester Street North Linwood   Christchurch ,632 Gloucester Street,North Linwood, ,Pt Lot 19 DP 1532,"1,000",dwelling alteration - installation of firenzo bronte top outlet ag freestanding dry woodburner cac072377
13491,,Christchurch ,24/03/15,C2015/2370,37 Dunstan Crescent Hornby   Christchurch ,37 Dunstan Crescent,Hornby, ,Lot 43 DP 23363,"4,500",dwelling alteration - masport r5000 dry freestanding woodburner - cac131295
13492,,Christchurch ,24/03/15,C2015/2502,49 Wyon Street North Linwood   Christchurch ,49 Wyon Street,North Linwood, ,Lot 2 DP 8940,"1,000",dwelling alterations - installation of masport i300 insert wood burner cac111333
13494,,Christchurch ,24/03/15,C2015/2477,55 Glandovey Road Fendalton   Christchurch ,55 Glandovey Road,Fendalton, ,Pt Lot 1 DP 7655,"5,000",dwelling alteration - installation of masport mackenzie r10000 freestanding wet woodburner cac - 147214
13507,,Christchurch ,24/03/15,C2015/1829,903 Governors Bay Road Governors Bay   Christchurch ,903 Governors Bay Road,Governors Bay, ,Lot 1 DP 51754,"4,500",dwelling alteration - installation of bosca spirit 550 free standing dry woodburner cac 110718
13508,,Christchurch ,24/03/15,C2015/2202,40 Cressy Terrace Lyttelton   Christchurch ,40 Cressy Terrace,Lyttelton, ,Pt RS 247 Canterbury Dist,"4,500",dwelling alteration - installation of metro eco-smart insert dry woodburner cac102411
13514,,Christchurch ,24/03/15,C2015/1558,8 Tomrich Street Aranui   Christchurch ,8 Tomrich Street,Aranui, ,Lot 3 DP 21992,"3,000",dwelling alteration - installation of ethos ares is100 secondhand inbuilt dry woodburner cac03001
13520,,Christchurch ,25/03/15,C2015/2509,14 Derwent Street Bryndwr   Christchurch ,14 Derwent Street,Bryndwr, ,Lot 20 DP 20896,"1,000",dwelling alteration - installation of woodsman aspen freestanding wood burner cac111306
13528,,Christchurch ,25/03/15,C2015/2564,2037 Christchurch Akaroa Road Motukarara   Christchurch ,2037 Christchurch Akaroa Road,Motukarara, ,Lot 1 DP 318715,"6,000",dwelling alteration - installation of woodsman tarras freestanding dry woodburner cac094113
13530,,Christchurch ,25/03/15,C2015/2627,85 Racecourse Road Riccarton Park   Christchurch ,85 Racecourse Road,Riccarton Park, ,Lot 2 DP 13292,"3,000",dwelliing alteration - installation of woodsman aspen freestanding dry woodburner cac111306
