,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
39034,,Napier,16/04/15,N150312,4 Weathers Place   Napier,4 Weathers Place,,,,"4,000",replace existing fire with a masport r5000 woodburner.
39035,,Napier,16/04/15,N150314,9 Donegal Crescent   Napier,9 Donegal Crescent,,,,"3,500",replace existing fire with a metro eco wee ped woodburner.
39036,,Napier,16/04/15,N150310,9 Whiting Crescent   Napier,9 Whiting Crescent,,,,"2,800",replace existing fire with a jayline ss280p woodburner
39041,,Napier,17/04/15,N150307,354 Kennedy Road   Napier,354 Kennedy Road,,,,"4,500",repace existing with kent rata insert woodburner
39043,,Napier,20/04/15,N150339,1A Finnis Lane   Napier,1A Finnis Lane,,,,"4,800",replace existing with firenzo bronte ag woodburner
39044,,Napier,20/04/15,N150338,24 Trent Street   Napier,24 Trent Street,,,,"4,750",replace existing with firenzo bronte ag woodburner
39045,,Napier,20/04/15,N150330,13 Flemington Place   Napier,13 Flemington Place,,,,"4,500",install metro xtreme rad freestanding woodburner
39046,,Napier,20/04/15,N150335,19 Gallipoli Road   Napier,19 Gallipoli Road,,,,"4,500",replace existing with masport 12000 insert woodburner
39047,,Napier,20/04/15,N150332,4 Tom Parker Avenue   Napier,4 Tom Parker Avenue,,,,"4,500",replace existing with masport i2000 insert woodburner
39049,,Napier,20/04/15,N150333,165 Harold Holt Avenue   Napier,165 Harold Holt Avenue,,,,"4,500",replace existing with metro smart insert woodburner
39053,,Napier,20/04/15,N150340,28 Lyttelton Crescent   Napier,28 Lyttelton Crescent,,,,"4,250",replace existing with firenzo forte bay woodburner
39061,,Napier,21/04/15,N150329,172A Guppy Road   Napier,172A Guppy Road,,,,"4,500",install masport r1500 freestanding woodburner
39062,,Napier,21/04/15,N150326,1 Cobden Lane   Napier,1 Cobden Lane,,,,"4,500",replace existing with masport r500 freestanding woodburner
39081,,Napier,24/04/15,N150350,137 Auckland Road   Napier,137 Auckland Road,,,,"4,800",replace existing with firenzo encore ag woodburner
39082,,Napier,24/04/15,N150345,17 May Avenue   Napier,17 May Avenue,,,,"4,500",install masport r5000 freestanding woodburner
39083,,Napier,24/04/15,N150356,11 Fife Crescent   Napier,11 Fife Crescent,,,,"4,500",replace existing gas fire with kent rata insert woodburner
39084,,Napier,24/04/15,N150351,14 Anderson Road   Napier,14 Anderson Road,,,,"4,500",replace existing with masport i2000 insert woodburner
39085,,Napier,24/04/15,N150357,46 Alamein Crescent   Napier,46 Alamein Crescent,,,,"4,500",replace existing with masport i2000 insert woodburner
39086,,Napier,24/04/15,N150352,42 Hillary Crescent   Napier,42 Hillary Crescent,,,,"4,500",replace existing with masport r1500 freestanding woodburner
39087,,Napier,24/04/15,N150364,205 Willowbank Avenue   Napier,205 Willowbank Avenue,,,,"4,500",replace existing with metro wee rad woodburner with wetback
39089,,Napier,24/04/15,N150341,35 Morris Spence Avenue   Napier,35 Morris Spence Avenue,,,,"4,500",replae existing masport i3000 insert woodburner
39090,,Napier,24/04/15,N150353,45 Burness Road   Napier,45 Burness Road,,,,"4,500",replce existing with masport i2000 insert woodburner
39091,,Napier,24/04/15,N150346,3 Banff Place   Napier,3 Banff Place,,,,"4,000",replace existing with woodsman flare freestanding woodburner
39092,,Napier,28/04/15,N150358,5 Tripoli Street   Napier,5 Tripoli Street,,,,"4,500",install woodmsna totara insert woodburner
39093,,Napier,28/04/15,N150343,190 Auckland Road   Napier,190 Auckland Road,,,,"4,500",replace existing with masport hestia freestanding woodburner
39094,,Napier,28/04/15,N150354,31 Allen Berry Avenue   Napier,31 Allen Berry Avenue,,,,"4,500",replace existing with masport i2000 insert woodburner
39095,,Napier,28/04/15,N150344,32 Simla Terrace   Napier,32 Simla Terrace,,,,"4,500",replace existing with masport i3000 insert woodburner
39096,,Napier,28/04/15,N150342,3 Kelvin Road   Napier,3 Kelvin Road,,,,"4,200",replace existing with masport i3000 inbuilt woodburner
39097,,Napier,28/04/15,N150368,3 Norrie Place   Napier,3 Norrie Place,,,,"4,000",replace existing with masport f2000 freestanding woodburner
39098,,Napier,28/04/15,N150371,7 Chambers Street   Napier,7 Chambers Street,,,,"3,750",replace existing with jayline is550 insert woodburner
39099,,Napier,28/04/15,N150372,13 Hyderabad Road   Napier,13 Hyderabad Road,,,,"3,750",replace existing withy jayline is550 insert woodburner
39100,,Napier,28/04/15,N150348,156B York Avenue   Napier,156B York Avenue,,,,"3,000",install woodsman woodburner
39101,,Napier,29/04/15,N150365,22 Campbell Street   Napier,22 Campbell Street,,,,"5,500",install firenzo compact deco ag woodburner
39102,,Napier,29/04/15,N150375,38 Auckland Road   Napier,38 Auckland Road,,,,"4,800",replace existing with masport le4000 inbuilt woodburner
39103,,Napier,29/04/15,N150369,3/20 Harold Holt Avenue   Napier,3/20 Harold Holt Avenue,,,,"4,500",replace existing with masport bannackburn i2000 woodburner
39104,,Napier,29/04/15,N150374,17 Murphy Road   Napier,17 Murphy Road,,,,"4,500",replace existing with masport i3000 insert woodburner
39105,,Napier,29/04/15,N150373,287A Taradale Road   Napier,287A Taradale Road,,,,"4,000",replace existing with masport r1500 freestanding woodburner
39106,,Napier,29/04/15,N150366,21 Shortland Street   Napier,21 Shortland Street,,,,"3,000",replace existing with masport f2000 woodburner
39114,,Napier,1/05/15,N150380,15 Arnold Street   Napier,15 Arnold Street,,,,"4,500",replce existing with metro smart insert woodburner
39115,,Napier,1/05/15,N150381,3 Milton Terrace   Napier,3 Milton Terrace,,,,"4,500",replace existing with kent rata insert woodburner
39116,,Napier,1/05/15,N150382,20 Ellison Street   Napier,20 Ellison Street,,,,"4,500",replace existing with masport i3000 insert woodburner
39123,,Napier,5/05/15,N150403,187 Avondale Road   Napier,187 Avondale Road,,,,"4,500",replace existing with masport f3300 freestanding woodburner
39126,,Napier,6/05/15,N150411,12 Napier Terrace   Napier,12 Napier Terrace,,,,"4,990",install masport r1000 woodburner
39129,,Napier,6/05/15,N150376,2 Waterworth Avenue   Napier,2 Waterworth Avenue,,,,"4,500",replace existing with kent logfire ii insert woodburner
39130,,Napier,6/05/15,N150393,30B Peddie Street   Napier,30B Peddie Street,,,,"4,500",replace existing with masort i2000 insert woodburner
39131,,Napier,6/05/15,N150394,10 O'Dowd Road   Napier,10 O'Dowd Road,,,,"4,500",replace existing with kent rata insert woodburner
39135,,Napier,6/05/15,N150399,13 Mission Road   Napier,13 Mission Road,,,,"4,500",replace existing with metro euro ped freestanding woodburner
39136,,Napier,6/05/15,N150400,9 Georges Drive   Napier,9 Georges Drive,,,,"4,500",replace existing with masport i3000 insert woodburner
39139,,Napier,6/05/15,N150410,9 May Avenue   Napier,9 May Avenue,,,,"4,500",replace existing with pyroclassic iv freestanding woodburner
39140,,Napier,6/05/15,N150397,21 Cobden Road   Napier,21 Cobden Road,,,,"4,000",replace existing with masport r5000 freestanding woodburner
39142,,Napier,6/05/15,N150401,36 York Avenue   Napier,36 York Avenue,,,,"3,000",replace existing with metro jayline is550 inbuilt woodburner
39143,,Napier,6/05/15,N150404,38 Lancaster Street   Napier,38 Lancaster Street,,,,"3,000",replace existing with metro tiny ped freestanding woodburner
39144,,Napier,6/05/15,N150405,6 Downing Avenue   Napier,6 Downing Avenue,,,,"3,000",install new metro xtreme rad woodburner with wetbak
39149,,Napier,8/05/15,N150417,15 Woodhouse Place   Napier,15 Woodhouse Place,,,,"3,695",replace existing with jayline ss280p freestanding woodburner
39150,,Napier,8/05/15,N150414,12 Alpers Terrace   Napier,12 Alpers Terrace,,,,"3,500",replace existing with jayline is1550 insert woodburner
39152,,Napier,11/05/15,N150422,154D Avondale Road   Napier,154D Avondale Road,,,,"6,500",replace existing with kent logfire ii woodburner
39153,,Napier,11/05/15,N150420,2 Bay View Road   Napier,2 Bay View Road,,,,"5,500",replace existing with firenzo kompact ag diva woodburner
39154,,Napier,11/05/15,N150406,21 Merton Crescent   Napier,21 Merton Crescent,,,,"4,500",replace existing with masport f3000 freestanding woodburner
39155,,Napier,11/05/15,N150408,9 Lancaster Street   Napier,9 Lancaster Street,,,,"4,500",replace existing with metro euro ped freestanding woodburner
39156,,Napier,11/05/15,N150421,1A Mckenzie Avenue   Napier,1A Mckenzie Avenue,,,,"4,500",replace existing with metro wee rad woodburner
39157,,Napier,11/05/15,N150426,10 Waterworth Avenue   Napier,10 Waterworth Avenue,,,,"4,500",replace existing with woodsman totara insert woodburner
39158,,Napier,11/05/15,N150424,2/17 Church Road   Napier,2/17 Church Road,,,,"3,500",install masport r1600 woodburner
39163,,Napier,13/05/15,N150140,61 Burness Road   Napier,61 Burness Road,,,,"15,000",new wet area shower & install masport hestia woodburner
39167,,Napier,14/05/15,N150433,8 Le Quesne Road   Napier,8 Le Quesne Road,,,,"4,500",install masport osburn freestanding woodburner
39168,,Napier,14/05/15,N150434,91 Nuffield Avenue   Napier,91 Nuffield Avenue,,,,"4,500",replace existing with woodsman totara insert woodburner
39169,,Napier,14/05/15,N150435,20 Herrick Street   Napier,20 Herrick Street,,,,"4,500",replace existing with masport i3000 insert woodburner
39170,,Napier,14/05/15,N150436,182 Avondale Road   Napier,182 Avondale Road,,,,"4,500",replace existing with kent firenze freestanding woodburner
39171,,Napier,14/05/15,N150430,20 Curling Crescent   Napier,20 Curling Crescent,,,,"4,000",install masport i2000 insert woodburner
39172,,Napier,14/05/15,N150428,23 Konini Crescent   Napier,23 Konini Crescent,,,,"2,500",replace existing with jayline spitfire woodburner
39173,,Napier,14/05/15,N150429,17 Wyatt Avenue   Napier,17 Wyatt Avenue,,,,"2,500",install metro eco wee rad freestanding woodburner
39186,,Napier,19/05/15,N150451,28 Surrey Street   Napier,28 Surrey Street,,,,"5,200",replace existing with masport atlanta bay woodburner
39188,,Napier,19/05/15,N150453,32 Tom Parker Avenue   Napier,32 Tom Parker Avenue,,,,"4,800",replace existing with masport i3000 insert woodburner
39189,,Napier,19/05/15,N150446,7 Henley Crescent   Napier,7 Henley Crescent,,,,"4,500",replace existing with masport i3000 insert woodburner
39190,,Napier,19/05/15,N150447,13 Darwin Crescent   Napier,13 Darwin Crescent,,,,"4,500",replace existing with masport i2000 insert woodburner
39192,,Napier,19/05/15,N150454,222 Auckland Road   Napier,222 Auckland Road,,,,"4,500",replace existing with masport hestia freestanding woodburner
39193,,Napier,19/05/15,N150457,43 Mcgrath Street   Napier,43 Mcgrath Street,,,,"4,500",repalce existing with masport i3000 insert woodburner
39194,,Napier,19/05/15,N150448,6 Roskilda Crescent   Napier,6 Roskilda Crescent,,,,"4,400",replace existing masport i3000 insert woodburner
39195,,Napier,19/05/15,N150450,17 Lannie Place   Napier,17 Lannie Place,,,,"4,200",replace existing with masport i2000 insert woodburner
39196,,Napier,19/05/15,N150445,141 Taradale Road   Napier,141 Taradale Road,,,,"4,000",replace existing with masport i2000 insert woodburner
39197,,Napier,19/05/15,N150460,11 Higgins Street   Napier,11 Higgins Street,,,,"4,000",install jayline ss400 woodburner
39198,,Napier,19/05/15,N150455,1A Cassino Crescent   Napier,1A Cassino Crescent,,,,"3,800",replace existing with masport i2000 insert woodburner
39204,,Napier,21/05/15,N150461,5 Anzac Avenue   Napier,5 Anzac Avenue,,,,"5,000",install pyroclassic iv woodburner
39205,,Napier,21/05/15,N150463,30 Bristol Street   Napier,30 Bristol Street,,,,"4,250",install masport bannockburn i2000 insert woodburner
39206,,Napier,21/05/15,N150467,37A Waterworth Avenue   Napier,37A Waterworth Avenue,,,,"1,600",replace existing with woodsman ecr novo woodburner
39214,,Napier,26/05/15,N150480,346 Brookfields Road   Napier,346 Brookfields Road,,,,"4,500",replace existing with masport le4000 insert woodburner
39216,,Napier,27/05/15,N150481,6 Chester Place   Napier,6 Chester Place,,,,"4,500",replace existing with masport r1500 freestanding woodburner
39217,,Napier,27/05/15,N150493,28 Elliott Street   Napier,28 Elliott Street,,,,"3,150",replace existing with woodsman ecr novo woodburner
39221,,Napier,28/05/15,N150477,29 Surrey Street   Napier,29 Surrey Street,,,,"5,860",install woodsman brunner freestanding woodburner
39222,,Napier,28/05/15,N150478,41 Cumberland Rise   Napier,41 Cumberland Rise,,,,"5,480",replace existing with firenzo contessa urban woodburner
39223,,Napier,28/05/15,N150489,13 Glamorgan Avenue   Napier,13 Glamorgan Avenue,,,,"5,240",replace existing with pyroclassis iv woodburner
39224,,Napier,28/05/15,N150479,11 Little Burke Street   Napier,11 Little Burke Street,,,,"4,000",install jayline ss28p freestanding woodburner
39225,,Napier,28/05/15,N150499,37 Chambers Street   Napier,37 Chambers Street,,,,"2,000",install metro eco tiny ped freestanding woodburner
39234,,Napier,2/06/15,N150498,92 King Street   Napier,92 King Street,,,,"6,275",replace existing with firenzo aqualux insert woodburner with
39235,,Napier,2/06/15,N150471,24 Neeve Road   Napier,24 Neeve Road,,,,"6,000",installation of pyroclassic iv wood burner
39236,,Napier,2/06/15,N150495,89 Charles Street   Napier,89 Charles Street,,,,"4,000",replace existing with firenzo kompact ag woodburner
39238,,Napier,2/06/15,N150496,11 Neal Crescent   Napier,11 Neal Crescent,,,,"3,000",replace existing with firenzo kompact ag woodburner
39246,,Napier,5/06/15,N150513,2 Norrie Place   Napier,2 Norrie Place,,,,"4,250",install masport r5000 freestanding woodburner
39247,,Napier,5/06/15,N150512,131 Avenue Road   Napier,131 Avenue Road,,,,"4,000",replace existing with kent forester freestanding woodburner
39253,,Napier,9/06/15,N150517,103 Milton Road   Napier,103 Milton Road,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39254,,Napier,9/06/15,N150518,3 Thistle Street   Napier,3 Thistle Street,,,,"4,500",replace existing with masport i2000 insert woodburner
39256,,Napier,9/06/15,N150458,160 York Avenue   Napier,160 York Avenue,,,,"4,203",replace existing with masport i3000 insert woodburner
39257,,Napier,9/06/15,N150504,8 Donegal Crescent   Napier,8 Donegal Crescent,,,,"4,000",replace existing with masport le4000 inbuilt woodburner
39258,,Napier,9/06/15,N150506,44 Fleming Crescent   Napier,44 Fleming Crescent,,,,"3,500",replace xisting with masport le4000 insert woodburner
39259,,Napier,9/06/15,N150507,8 Balliol Avenue   Napier,8 Balliol Avenue,,,,"3,500",replace existing with masport i2000 woodburner
39260,,Napier,9/06/15,N150521,111 Nelson Crescent   Napier,111 Nelson Crescent,,,,"3,500",install metro wee rad woodburner
39265,,Napier,10/06/15,N150530,146A Avenue Road   Napier,146A Avenue Road,,,,"5,641",replace existing with metro euro ped freestanding woodburner
39267,,Napier,10/06/15,N150542,146 Battery Road   Napier,146 Battery Road,,,,"5,500",replace existing with metro eco wee rad woodburner with
39268,,Napier,10/06/15,N150543,17 Mason Avenue   Napier,17 Mason Avenue,,,,"4,500",replace existing with metro eco smart insert woodburner
39269,,Napier,10/06/15,N150523,13 Battery Road   Napier,13 Battery Road,,,,"4,500",install metro tiny rad freestanding woodburner
39270,,Napier,10/06/15,N150524,24 Merton Crescent   Napier,24 Merton Crescent,,,,"4,500",replace existing with kent rata insert woodburner
39272,,Napier,10/06/15,N150526,1/7 Gebbie Road   Napier,1/7 Gebbie Road,,,,"4,500",install masort r1500 freestanding woodburner
39273,,Napier,10/06/15,N150527,153 Georges Drive   Napier,153 Georges Drive,,,,"4,500",replace existing wth matai ecr mkiii freestanding woodburner
39274,,Napier,10/06/15,N150541,10 Trent Street   Napier,10 Trent Street,,,,"4,500",replace existing with kent rata inbuilt woodburner
39275,,Napier,10/06/15,N150533,289 Westminster Avenue   Napier,289 Westminster Avenue,,,,"4,000",replace existing with firenzo kitchener urban woodburner
39276,,Napier,10/06/15,N150538,120 Guppy Road   Napier,120 Guppy Road,,,,"4,000",replace existing with masport r1600 freestanding woodburner
39284,,Napier,16/06/15,N150560,110 Thompson Road   Napier,110 Thompson Road,,,,"10,000",replace existing with masport ie4000 insert woodburner
39286,,Napier,16/06/15,N150469,4 Webb Place   Napier,4 Webb Place,,,,"6,138",replace existing with pyroclassic iv freestanding woodburner
39287,,Napier,16/06/15,N150529,32 Colenso Avenue   Napier,32 Colenso Avenue,,,,"4,800",replace existing with jayline ca freestanding woodburner
39288,,Napier,16/06/15,N150550,18 Arthur Hobson Avenue   Napier,18 Arthur Hobson Avenue,,,,"4,500",replace existing with metro trend insert woodburner
39289,,Napier,16/06/15,N150561,1 Lomond Place   Napier,1 Lomond Place,,,,"4,500",replace existing with kent logfire ii insert woodburner
39290,,Napier,16/06/15,N150565,4 Kowhai Road   Napier,4 Kowhai Road,,,,"4,500",replace existing masport r5000 ped freestanding woodburner
39291,,Napier,16/06/15,N150546,227 Kennedy Road   Napier,227 Kennedy Road,,,,"4,000",replace existing with masport i3000 insert woodburner
39292,,Napier,16/06/15,N150505,20 Robinson Crescent   Napier,20 Robinson Crescent,,,,"4,000",install masport i3000 insert woodburner
39293,,Napier,16/06/15,N150540,305A Kennedy Road   Napier,305A Kennedy Road,,,,"4,000",replace existing with masport r1500p freestanding woodburner
39294,,Napier,16/06/15,N150545,26 Lee Road   Napier,26 Lee Road,,,,"3,800",replace existing with masport i3000 insert woodburner
39295,,Napier,16/06/15,N150544,7 Kinross White Street   Napier,7 Kinross White Street,,,,"3,500",replace existing  masport r1500p freestanding woodburner
39296,,Napier,16/06/15,N150537,61 Trent Street   Napier,61 Trent Street,,,,"3,000",replace existing with jayline ss300 eco woodburner
39297,,Napier,16/06/15,N150569,9 Blythfield Place   Napier,9 Blythfield Place,,,,"2,500",install masport freestanding woodburner
39298,,Napier,17/06/15,N150567,425 Marine Parade   Napier,425 Marine Parade,,,,"5,500",install masport r1500 freestanding woodburner
39299,,Napier,17/06/15,N150570,11 Travis Street   Napier,11 Travis Street,,,,"5,000",replace existing with firenzo bronte ag woodburner
39300,,Napier,17/06/15,N150556,54 Wycliffe Street   Napier,54 Wycliffe Street,,,,"4,700",repace existing with firenzo bronte freestanding woodburner
39301,,Napier,17/06/15,N150557,23 Clyde Road   Napier,23 Clyde Road,,,,"4,579",replace existing with metro eco smart insert woodburner
39302,,Napier,17/06/15,N150552,34 Ossian Street   Napier,34 Ossian Street,,,,"4,500",install masport minos 2 freestanding woodburner
39306,,Napier,17/06/15,N150554,20 King Street   Napier,20 King Street,,,,"4,500",replace existing with masport i2000 insert woodburner
39307,,Napier,17/06/15,N150566,97 Wellesley Road   Napier,97 Wellesley Road,,,,"4,250",install masort r1500 woodburner
39308,,Napier,17/06/15,N150571,3 Rhodes Place   Napier,3 Rhodes Place,,,,"4,000",replace existing with kent signature woodburner
39312,,Napier,19/06/15,N150579,21 Richmond Street   Napier,21 Richmond Street,,,,"4,500",replace existing with metro eco smart insert woodburner
39313,,Napier,19/06/15,N150574,12 Guys Hill Road   Napier,12 Guys Hill Road,,,,"4,500",install masport i2000 bannackburn woodburner
39314,,Napier,19/06/15,N150573,234A Te Awa Avenue   Napier,234A Te Awa Avenue,,,,"4,000",install masport r1500 woodburner
39316,,Napier,19/06/15,N150576,89 Bledisloe Road   Napier,89 Bledisloe Road,,,,"3,320",replace existing with metro wee ped freestanding woodburner
39326,,Napier,24/06/15,N150625,6 Harold Holt Avenue   Napier,6 Harold Holt Avenue,,,,"6,600",replace existing with firenzo lady kitchener ag woodburner
39329,,Napier,24/06/15,N150597,27 Napier Street   Napier,27 Napier Street,,,,"4,500",install woodsman brunner mkii freestanding woodburner
39331,,Napier,24/06/15,N150593,6 Rochester Street   Napier,6 Rochester Street,,,,"4,500",replace existing with masport i2000 insert woodburner
39332,,Napier,24/06/15,N150585,1/78 Guppy Road   Napier,1/78 Guppy Road,,,,"3,500",replace existing with masport r1500 woodburner
39334,,Napier,25/06/15,N150612,94 Freyberg Avenue   Napier,94 Freyberg Avenue,,,,"4,700",install masport osburn 1600 woodburner
39335,,Napier,25/06/15,N150614,89 Harold Holt Avenue   Napier,89 Harold Holt Avenue,,,,"4,500",replace masport r1500p freestanding woodburner
39336,,Napier,25/06/15,N150586,56A Logan Avenue   Napier,56A Logan Avenue,,,,"4,500",install firenzo bronte ag freestanding woodburner
39338,,Napier,25/06/15,N150599,39 Murphy Road   Napier,39 Murphy Road,,,,"4,500",replace existing with masport i2000 insert woodburner
39341,,Napier,25/06/15,N150602,84 Burness Road   Napier,84 Burness Road,,,,"4,500",replace existing with metro mega smart insert woodburner
39342,,Napier,25/06/15,N150592,34A Peddie Street   Napier,34A Peddie Street,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39343,,Napier,25/06/15,N150603,67 Upham Crescent   Napier,67 Upham Crescent,,,,"4,500",replace existng with masport minos 2 freestanding woodburner
39345,,Napier,25/06/15,N150626,6 Hamlin Place   Napier,6 Hamlin Place,,,,"3,700",replace existing wityh metro wee rad freestanding woodburner
39346,,Napier,25/06/15,N150621,1A Sanders Avenue   Napier,1A Sanders Avenue,,,,"3,500",replace existing with masport i3000 insert woodburner
39351,,Napier,26/06/15,N150613,68 Avondale Road   Napier,68 Avondale Road,,,,"5,300",replace existing with masport f3000 freestanding woodburner
39352,,Napier,29/06/15,N150639,46 James Foley Avenue   Napier,46 James Foley Avenue,,,,"4,695",install masport le4000 woodburner
39353,,Napier,29/06/15,N150640,238 Poraiti Road   Napier,238 Poraiti Road,,,,"4,500",install masport f2000 woodburner
39354,,Napier,29/06/15,N150634,172 Wellesley Road   Napier,172 Wellesley Road,,,,"4,200",replace existing with masport r5000p freestanding woodburner
39356,,Napier,29/06/15,N150606,19 Neal Crescent   Napier,19 Neal Crescent,,,,"4,100",replace existing with masport i3000 insert woodburner
39358,,Napier,29/06/15,N150635,1 Morse Street   Napier,1 Morse Street,,,,"3,700",replace existing wityh masport i3000 insert woodburner
39366,,Napier,2/07/15,N150648,72 Park Road   Napier,72 Park Road,,,,"4,500",replace existing masport r1500 ped freestanding woodburner
39367,,Napier,2/07/15,N150647,6 Konini Crescent   Napier,6 Konini Crescent,,,,"4,500",replace existing with metro smart insert woodburner
39368,,Napier,2/07/15,N150638,53 Neal Crescent   Napier,53 Neal Crescent,,,,"4,500",install masport i2000 woodburner
39371,,Napier,6/07/15,N150655,2/26 Titoki Crescent   Napier,2/26 Titoki Crescent,,,,"3,700",replace existing with jayline ss280p freestanding woodburner
39373,,Napier,6/07/15,N150646,40 Charles Street   Napier,40 Charles Street,,,,"5,500",install metro euro rad freestanding woodburner
39376,,Napier,6/07/15,N150644,19 Otatara Road   Napier,19 Otatara Road,,,,"4,000",install masport bannockburn i2000 insert woodburner
39378,,Napier,7/07/15,N150674,265 Georges Drive   Napier,265 Georges Drive,,,,"3,750",replace existing with masport l2000 insert woodburner
39379,,Napier,7/07/15,N150669,78 Mcdonald Street   Napier,78 Mcdonald Street,,,,"5,645",install firenzo forte aqualux woodburner with wetback
39380,,Napier,7/07/15,N150677,488 Main North Road   Napier,488 Main North Road,,,,"6,500",replace existing with firenzo lady kitchen woodburner
39381,,Napier,7/07/15,N150658,40 Spriggs Crescent   Napier,40 Spriggs Crescent,,,,"3,800",replace existing with masport r1500l freestanding woodburner
39383,,Napier,7/07/15,N150656,15 Hillary Crescent   Napier,15 Hillary Crescent,,,,"3,700",replace existing with masport i2000 insert woodburner
39384,,Napier,7/07/15,N150662,34 Titoki Crescent   Napier,34 Titoki Crescent,,,,"4,500",replace existing with masport f3000 woodburner
39385,,Napier,8/07/15,N150651,29 Jeffares Place   Napier,29 Jeffares Place,,,,"3,900",replace existing with masport f3000 woodburner
39386,,Napier,8/07/15,N150660,8 Burns Road   Napier,8 Burns Road,,,,"5,000",install pyroclassic iv woodburner
39387,,Napier,8/07/15,N150661,69B Gloucester Street   Napier,69B Gloucester Street,,,,"3,000",replace existing with masport r1500 woodburner
39388,,Napier,8/07/15,N150673,49 Franklin Road   Napier,49 Franklin Road,,,,"4,000",replace existing with kent signature woodburner
39389,,Napier,8/07/15,N150650,120 Battery Road   Napier,120 Battery Road,,,,"2,500",install metro eco wee rad woodburner
39390,,Napier,8/07/15,N150684,62 Mcdonald Street   Napier,62 Mcdonald Street,,,,"4,500",replace existing masport 12000 insert woodburner
39391,,Napier,8/07/15,N150652,1 Kinross White Street   Napier,1 Kinross White Street,,,,"4,000",install masport r5000ws eco woodburner
39392,,Napier,8/07/15,N150676,59 Hillary Crescent   Napier,59 Hillary Crescent,,,,"4,250",install masport bannockburn i2000 woodburner
39393,,Napier,8/07/15,N150678,60A Nuffield Avenue   Napier,60A Nuffield Avenue,,,,"4,500",replace existing with woodsman ecr mkiii woodburner
39394,,Napier,8/07/15,N150682,4 Hammond Road   Napier,4 Hammond Road,,,,"4,500",replace existing with woodsman totara inbuilt woodburner
39395,,Napier,8/07/15,N150683,22 Keats Avenue   Napier,22 Keats Avenue,,,,"4,500",replace existing with woodsman totara inbuilt woodburner
39396,,Napier,8/07/15,N150675,43 Waterhouse Street   Napier,43 Waterhouse Street,,,,"3,800",replace existing with masport i3000 inbuilt woodburner
39401,,Napier,9/07/15,N150668,29A May Avenue   Napier,29A May Avenue,,,,"4,152",replace existing with kent logfire ii insert woodburner
39402,,Napier,9/07/15,N150686,7 Hyderabad Road   Napier,7 Hyderabad Road,,,,"3,269",install woodsman totara woodburner
39403,,Napier,10/07/15,N150694,17 Alexander Avenue   Napier,17 Alexander Avenue,,,,"4,500",replace existing with metro eco smart  woodburner
39404,,Napier,10/07/15,N150698,452 Gloucester Street   Napier,452 Gloucester Street,,,,"6,595",replace existing with firenzo urban woodburner + wetback
39405,,Napier,10/07/15,N150693,172 Riverbend Road   Napier,172 Riverbend Road,,,,"4,500",replace existing with kent barker ii woodburner
39406,,Napier,14/07/15,N150709,5 Neagle Place   Napier,5 Neagle Place,,,,"5,000",install firenzo bronte ag woodburner
39409,,Napier,14/07/15,N150699,3/44 The Esplanade   Napier,3/44 The Esplanade,,,,"4,720",install warmington studion woodburner
39411,,Napier,14/07/15,N150622,10 Chaucer Road South   Napier,10 Chaucer Road South,,,,"3,750",replace existing with masport i3000 insert woodburner
39414,,Napier,15/07/15,N150715,9 Ashridge Road   Napier,9 Ashridge Road,,,,"4,000",install woodsman brunner mkii woodburner
39415,,Napier,15/07/15,N150705,30 Morse Street   Napier,30 Morse Street,,,,"4,250",install masport i2000 bannackburn woodburner
39416,,Napier,15/07/15,N150704,48 Robinson Crescent   Napier,48 Robinson Crescent,,,,"2,500",replace existing with woodsman totara insert woodburner
39417,,Napier,15/07/15,N150703,43 Mcdonald Street   Napier,43 Mcdonald Street,,,,"4,000",install metro eco extreme rad woodburner
39421,,Napier,17/07/15,N150710,506 Kennedy Road   Napier,506 Kennedy Road,,,,"4,500",replace existing with metro wee rad woodburner
39423,,Napier,17/07/15,N150706,12 Savage Crescent   Napier,12 Savage Crescent,,,,"3,500",replace existing with masport i2000 inbuilt woodburner
39424,,Napier,20/07/15,N150707,8 Willow Drive   Napier,8 Willow Drive,,,,"4,900",install logaire atlanta bay freestanding woodburner
39425,,Napier,20/07/15,N150722,144 Nelson Crescent   Napier,144 Nelson Crescent,,,,"5,645",install pyroclassic woodburner
39426,,Napier,20/07/15,N150720,24 Fife Crescent   Napier,24 Fife Crescent,,,,"3,200",replace existing with kent kiwi rad woodburner
39428,,Napier,21/07/15,N150649,62 Church Road   Napier,62 Church Road,,,,"3,000",replace existing with jayline ss400 woodburner
39438,,Napier,23/07/15,N150736,6 Kent Terrace   Napier,6 Kent Terrace,,,,"2,500",install  metro r1 freestanding woodburner
39439,,Napier,23/07/15,N150732,84 Clarence Cox Crescent   Napier,84 Clarence Cox Crescent,,,,"4,687",replace existing with kent logfire ii insert woodburner
39440,,Napier,23/07/15,N150724,4 Carnell Street   Napier,4 Carnell Street,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39442,,Napier,23/07/15,N150716,2/33 Latham Street   Napier,2/33 Latham Street,,,,"3,375",install masport r1500 freestanding woodburner
39443,,Napier,23/07/15,N150718,12 Gill Road   Napier,12 Gill Road,,,,"4,500",install masport r5000 ped freestanding woodburner
