WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (172.705204 -43.8217156167),1406740,1787331,298023,"6 Forest View Road, Little River",6,6,,Forest View Road,Little River,Christchurch City,Forest View Road,"6 Forest View Road, Little River",Little River,172.705204,-43.821715616700004
POINT (172.7260198833 -43.6035770667),282248,1779984,43184,"6 Foster Terrace, Lyttelton",6,6,,Foster Terrace,Lyttelton,Christchurch City,Foster Terrace,"6 Foster Terrace, Lyttelton",Lyttelton,172.726019883,-43.6035770667
POINT (172.72720295 -43.6056781667),282336,1779477,49134,"6 Gilmour Terrace, Lyttelton",6,6,,Gilmour Terrace,Lyttelton,Christchurch City,Gilmour Terrace,"6 Gilmour Terrace, Lyttelton",Lyttelton,172.72720295,-43.6056781667
POINT (172.64720155 -43.6238797),1313720,1836009,284993,"6 Glas Brae, Governors Bay",6,6,,Glas Brae,Governors Bay,Christchurch City,Glas Brae,"6 Glas Brae, Governors Bay",Governors Bay,172.64720155,-43.6238797
POINT (172.7130515 -43.6034556),274464,1779476,49091,"6 Godley Quay, Lyttelton",6,6,,Godley Quay,Lyttelton,Christchurch City,Godley Quay,"6 Godley Quay, Lyttelton",Lyttelton,172.71305149999998,-43.603455600000004
POINT (172.6925998667 -43.6041235),265264,1779981,46123,"6 Harbour View Terrace, Cass Bay, Lyttelton",6,6,,Harbour View Terrace,Cass Bay,Christchurch City,Harbour View Terrace,"6 Harbour View Terrace, Cass Bay, Lyttelton",Cass Bay,172.692599867,-43.6041235
POINT (172.7127374167 -43.6008297),274465,1779982,54123,"6 Harmans Road, Lyttelton",6,6,,Harmans Road,Lyttelton,Christchurch City,Harmans Road,"6 Harmans Road, Lyttelton",Lyttelton,172.712737417,-43.600829700000006
POINT (172.6450661 -43.6190649667),240004,1779012,35814,"6 Hay's Rise, Governors Bay",6,6,,"Hay's Rise",Governors Bay,Christchurch City,"Hay's Rise","6 Hay's Rise, Governors Bay",Governors Bay,172.64506609999998,-43.6190649667
POINT (172.9443200667 -43.7552842667),565577,1779385,41319,"6 Haywards Lane, Duvauchelle",6,6,,Haywards Lane,Duvauchelle,Christchurch City,Haywards Lane,"6 Haywards Lane, Duvauchelle",Duvauchelle,172.944320067,-43.7552842667
POINT (172.9555510333 -43.8143757667),290014,1779392,37308,"6 Hempleman Drive, Akaroa",6,6,,Hempleman Drive,Akaroa,Christchurch City,Hempleman Drive,"6 Hempleman Drive, Akaroa",Akaroa,172.955551033,-43.8143757667
POINT (172.64803805 -43.6299383167),1997634,3024988,381960,"6 Hollybank Lane, Allandale",6,6,,Hollybank Lane,Allandale,Christchurch City,Hollybank Lane,"6 Hollybank Lane, Allandale",Allandale,172.64803805,-43.6299383167
POINT (172.7252024333 -43.6301281167),282487,1780016,46155,"6 Hunters Road, Diamond Harbour",6,6,,Hunters Road,Diamond Harbour,Christchurch City,Hunters Road,"6 Hunters Road, Diamond Harbour",Diamond Harbour,172.725202433,-43.6301281167
POINT (172.72521235 -43.5955038167),1467773,1787553,54002,"6 Hyllton Heights, Lyttelton",6,6,,Hyllton Heights,Lyttelton,Christchurch City,Hyllton Heights,"6 Hyllton Heights, Lyttelton",Lyttelton,172.72521235,-43.5955038167
POINT (172.6997562333 -43.4769526167),267288,1784704,32482,"6 Ingrid Street, Parklands, Christchurch",6,6,,Ingrid Street,Parklands,Christchurch City,Ingrid Street,"6 Ingrid Street, Parklands, Christchurch",Parklands,172.699756233,-43.476952616700004
POINT (172.7205610167 -43.6291652667),279559,1780014,34125,"6 James Drive, Diamond Harbour",6,6,,James Drive,Diamond Harbour,Christchurch City,James Drive,"6 James Drive, Diamond Harbour",Diamond Harbour,172.720561017,-43.6291652667
POINT (172.9671696333 -43.8078594333),290689,1779255,31372,"6 Julius Place, Akaroa",6,6,,Julius Place,Akaroa,Christchurch City,Julius Place,"6 Julius Place, Akaroa",Akaroa,172.967169633,-43.8078594333
POINT (172.69112605 -43.6031720833),265263,1785422,43388,"6 Kaikomako Place, Cass Bay, Lyttelton",6,6,,Kaikomako Place,Cass Bay,Christchurch City,Kaikomako Place,"6 Kaikomako Place, Cass Bay, Lyttelton",Cass Bay,172.69112605,-43.6031720833
POINT (172.7132359167 -43.6342558667),1603300,3009964,346809,"6 Kaioruru Lane, Charteris Bay",6,6,,Kaioruru Lane,Charteris Bay,Christchurch City,Kaioruru Lane,"6 Kaioruru Lane, Charteris Bay",Charteris Bay,172.71323591700002,-43.6342558667
POINT (172.9447007833 -43.7618462333),1297118,1806284,281185,"6 Kanuka Place, Robinsons Bay",6,6,,Kanuka Place,Robinsons Bay,Christchurch City,Kanuka Place,"6 Kanuka Place, Robinsons Bay",Robinsons Bay,172.944700783,-43.7618462333
POINT (172.55390715 -43.55245455),1848762,3053439,366217,"6 Keene Street, Wigram, Christchurch",6,6,,Keene Street,Wigram,Christchurch City,Keene Street,"6 Keene Street, Wigram, Christchurch",Wigram,172.55390715,-43.55245455
POINT (172.7246873667 -43.6276873667),279563,1779419,47940,"6 Koromiko Crescent, Diamond Harbour",6,6,,Koromiko Crescent,Diamond Harbour,Christchurch City,Koromiko Crescent,"6 Koromiko Crescent, Diamond Harbour",Diamond Harbour,172.724687367,-43.6276873667
POINT (172.6815756667 -43.6061227),1302152,1780039,44215,"6 Korora Tahi Road, Rapaki",6,6,,Korora Tahi Road,Rapaki,Christchurch City,Korora Tahi Road,"6 Korora Tahi Road, Rapaki",Rapaki,172.681575667,-43.6061227
POINT (172.9767713667 -43.7853272833),220656,1779403,38163,"6 Kotlowski Road, Takamatua",6,6,,Kotlowski Road,Takamatua,Christchurch City,Kotlowski Road,"6 Kotlowski Road, Takamatua",Takamatua,172.976771367,-43.7853272833
POINT (172.96429045 -43.81513785),290089,1779411,51750,"6 Kowhai Grove, Akaroa",6,6,,Kowhai Grove,Akaroa,Christchurch City,Kowhai Grove,"6 Kowhai Grove, Akaroa",Akaroa,172.96429045,-43.81513785
POINT (172.8980473167 -43.7209627833),1759274,1786054,50639,"6 Kukupa Place, Pigeon Bay",6,6,,Kukupa Place,Pigeon Bay,Christchurch City,Kukupa Place,"6 Kukupa Place, Pigeon Bay",Pigeon Bay,172.89804731700002,-43.7209627833
POINT (172.6445826167 -43.6264377167),232020,1778997,40971,"6 Lachie Griffen Rise, Governors Bay",6,6,,Lachie Griffen Rise,Governors Bay,Christchurch City,Lachie Griffen Rise,"6 Lachie Griffen Rise, Governors Bay",Governors Bay,172.644582617,-43.6264377167
