id,add,statue
3493,"1/12A Tern Street, Southshore, Christchurch",Request timed out
3497,"3/9B Prestons Road, Redwood, Christchurch",Request timed out
3505,"3/160 Simeon Street, Spreydon, Christchurch",Request timed out
3517,"3/41 Waller Terrace, Christchurch Central, Christchurch",Request timed out
3523,"15 Mokihi Gardens, Hillmorton, Christchurch",Request timed out
3545,"36 Newnham Terrace, Upper Riccarton, Christchurch",Request timed out
3561,"50 Mahars Road, Mairehau, Christchurch",Request timed out
3565,"20 Walton Street, Sydenham, Christchurch",Request timed out
3566,"20 Cameron Street, Sydenham, Christchurch",Request timed out
3603,"119A Worcester Street, Christchurch Central, Christchurch",Request timed out
3604,"50A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
3618,"37 Cottonwood Street, Parklands, Christchurch",Request timed out
3620,"23 Brooker Avenue, Burwood, Christchurch",Request timed out
3658,"11 Astor Place, Halswell, Christchurch",Request timed out
3671,"14 Brake Street, Upper Riccarton, Christchurch",Request timed out
3675,"39 Rountree Street, Upper Riccarton, Christchurch",Request timed out
3677,"25 Cotswold Avenue, Bishopdale, Christchurch",Request timed out
3680,"52 Weka Street, Fendalton, Christchurch",Request timed out
3703,"18 Randall Street, Richmond, Christchurch",Request timed out
3713,"25 Teal Close, Woolston, Christchurch",Request timed out
3741,"2/109 Bristol Street, St Albans, Christchurch",Request timed out
3757,"3/104 Farrington Avenue, Bishopdale, Christchurch",Request timed out
3832,"500A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
3860,"16 Waygreen Avenue, New Brighton, Christchurch",Request timed out
3861,"16 Warblington Street, Aranui, Christchurch",Request timed out
3864,"10 Brook Street, Bexley, Christchurch",Request timed out
3872,"22A Lincoln Road, Hillmorton, Christchurch",Request timed out
3888,"71 Country Palms Drive, Halswell, Christchurch",Request timed out
3899,"12 Marquess Avenue, Halswell, Christchurch",Request timed out
3901,"18 Hare Street, Ilam, Christchurch",Request timed out
3911,"49 Charles Upham Avenue, Hillmorton, Christchurch",Request timed out
3980,"2/2 Canon Street, St Albans, Christchurch",Request timed out
4043,"2/117A Warrington Street, Mairehau, Christchurch",Request timed out
4047,"11 Woodbury Street, Avonhead, Christchurch",Request timed out
4053,"58 Lancewood Drive, Halswell, Christchurch",Request timed out
4060,"63 Brodie Street, Ilam, Christchurch",Request timed out
4064,"19 Glencullen Drive, Casebrook, Christchurch",Request timed out
4102,"71A Middleton Road, Upper Riccarton, Christchurch",Request timed out
4105,"74 Broadhaven Avenue, Parklands, Christchurch",Request timed out
4124,"50 Worthy Street, Ilam, Christchurch",Request timed out
4140,"23 Sawyers Arms Road, Northcote, Christchurch",Request timed out
4169,"65 Heyders Road, Spencerville, Christchurch",Request timed out
4170,"11 Broadhaven Avenue, Parklands, Christchurch",Request timed out
4175,"45 St Andrews Hill Road, Mount Pleasant, Christchurch",Request timed out
