id,address,boolean
561,"15 Thackeray Street, Saint Andrews",Request timed out
562,"13 Pikes Point Road, Morven",Request timed out
563,"943 Gum Tree Flat Road, Ikawai",Request timed out
568,"179 Hendrys Road, Otaio",Request timed out
569,"5 Pareora River Road, Saint Andrews",Request timed out
572,"234 Mt Studholme Road, Hunter",Request timed out
579,"61 Lyall Road, Saint Andrews",Request timed out
582,"16D Kennedy Crescent, Waimate",Request timed out
586,"15/4963 Waimate Highway, Glenavy",Request timed out
587,"16/4963 Waimate Highway, Glenavy",Request timed out
594,"29 Innes Street, Waimate",Request timed out
609,"16 Mary Street, Waimate",Request timed out
621,"46 Parsonage Road, Waimate",Request timed out
622,"4 Carlisle Street, Waimate",Request timed out
623,"13 Holmes Street, Waimate",Request timed out
624,"48 High Street, Waimate",Request timed out
625,"1 Caernarvon Street, Waimate",Request timed out
642,"15 Oxford Street, Waimate",Request timed out
643,"6 Moorhouse Street, Waimate",Request timed out
644,"8 Michael Street, Waimate",Request timed out
670,"76 Corrigans Road, Makikihi",Request timed out
671,"351 Pleasant Valley Road, Saint Andrews",Request timed out
673,"218 Cliffs Road, Maungati",Request timed out
674,"3529 Waimate Highway, Morven",Request timed out
675,"4165 Waimate Highway, Morven",Request timed out
676,"4958 Waimate Highway, Glenavy",Request timed out
677,"157 Waihuna Road, Ikawai",Request timed out
678,"16 Timaru Road, Waimate",Request timed out
683,"65 Tawai Ikawai Road, Glenavy",Request timed out
684,"1 Baxter Avenue, Saint Andrews",Request timed out
685,"134 High Street, Waimate",Request timed out
686,"49 Allan Street, Waimate",Request timed out
687,"57 Mill Road, Waimate",Request timed out
688,"15 Opie Street, Waimate",Request timed out
689,"16 Hughes Street, Waimate",Request timed out
690,"34 Hughes Street, Waimate",Request timed out
691,"3 Meyer Street, Waimate",Request timed out
692,"71 Shearman Street, Waimate",Request timed out
693,"76 Rhodes Street, Waimate",Request timed out
694,"82 Rhodes Street, Waimate",Request timed out
695,"16 Mill Road, Waimate",Request timed out
696,"16 Gorge Road, Waimate",Request timed out
697,"3 Saul Shrives Place, Waimate",Request timed out
698,"4 Saul Shrives Place, Waimate",Request timed out
699,"10 Wall Street, Waimate",Request timed out
701,"1 Glasgow Street, Waimate",Request timed out
702,"41 Parsonage Road, Waimate",Request timed out
703,"8 Shearman Street, Waimate",Request timed out
704,"28 Edward Street, Waimate",Request timed out
705,"31 John Street, Waimate",Request timed out
706,"7 Holmes Street, Waimate",Request timed out
707,"58 Timaru Road, Waimate",Request timed out
708,"22 Waimate Highway, Makikihi",Request timed out
711,"169 McNamaras Road, Waimate",Request timed out
714,"234 Maytown Road, Waimate",Request timed out
722,"230 Farm Road, Hakataramea, Kurow",Request timed out
742,"32 Augustine Street, Waimate",Request timed out
744,"42 Waimate Highway, Saint Andrews",Request timed out
745,"6 Waimate Highway, Saint Andrews",Request timed out
746,"9 Braddon Street, Saint Andrews",Request timed out
747,"16 Allan Street, Waimate",Request timed out
748,"1115 Hakataramea Highway, Waihao Downs",Request timed out
749,"2900 Hakataramea Highway, Ikawai",Request timed out
756,"63 Sheas Road, Otaio",Request timed out
759,"179 Haymans Road, Waimate",Request timed out
761,"135 Norton Reserve Road, Waimate",Request timed out
763,"61 Willowbridge Settlement Road, Waimate",Request timed out
773,"40 Opie Street, Waimate",Request timed out
782,"42 Timaru Road, Waimate",Request timed out
798,"16 Oxford Street, Waimate",Request timed out
799,"29 Parsonage Road, Waimate",Request timed out
803,"1 Dobson Street, Waimate",Request timed out
805,"12 Tennant Street, Waimate",Request timed out
806,"18 Dobson Street, Waimate",Request timed out
809,"688 Elephant Hill Road, Ikawai",Request timed out
