,address,boolean
233,"12 Marquess Avenue, Halswell, Christchurch",Request timed out
234,"12 Martin Avenue, Beckenham, Christchurch",Request timed out
235,"12 Mason Place, Sockburn, Christchurch",Request timed out
236,"12 Mayo Place, Belfast, Christchurch",Request timed out
238,"12 Moore Street, Sydenham, Christchurch",Request timed out
241,"12 Prossers Road, Saint Martins, Christchurch",Request timed out
243,"12 Riley Crescent, Woolston, Christchurch",Request timed out
245,"12 Roche Avenue, Upper Riccarton, Christchurch",Request timed out
246,"12 Roker Street, Somerfield, Christchurch",Request timed out
247,"12 Rossmore Terrace, Cashmere, Christchurch",Request timed out
248,"12 Rothesay Road, Parklands, Christchurch",Request timed out
251,"12 Sasaram Lane, Cashmere, Christchurch",Request timed out
252,"12 Saxon Street, Phillipstown, Christchurch",Request timed out
255,"12 Station Road, Heathcote Valley, Christchurch",Request timed out
256,"12 Steele Street, Hornby, Christchurch",Request timed out
258,"12 Tasman Place, Burwood, Christchurch",Request timed out
259,"12 Tavendale Place, St Albans, Christchurch",Request timed out
261,"12 Warhorse Gate, Halswell, Christchurch",Request timed out
262,"12 Wentworth Street, Ilam, Christchurch",Request timed out
263,"12 West-Watson Avenue, Hillmorton, Christchurch",Request timed out
264,"12/14 Acheron Drive, Riccarton, Christchurch",Request timed out
265,"12/336 Lincoln Road, Addington, Christchurch",Request timed out
269,"121/1 Lady Isaac Way, Mairehau, Christchurch",Request timed out
274,"126/1 Lady Isaac Way, Mairehau, Christchurch",Request timed out
277,"12A Crofton Road, Harewood, Christchurch",Request timed out
278,"12A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
279,"12B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
280,"13 Dobson Street, Spreydon, Christchurch",Request timed out
282,"13 Manhire Street, Spreydon, Christchurch",Request timed out
283,"13/336 Lincoln Road, Addington, Christchurch",Request timed out
284,"130 Mairehau Road, Marshland, Christchurch",Request timed out
285,"133 Buchanans Road, Hei Hei, Christchurch",Request timed out
286,"134 Stapletons Road, Richmond, Christchurch",Request timed out
287,"135 Caledonian Road, St Albans, Christchurch",Request timed out
288,"137 Manchester Street, Christchurch Central, Christchurch",Request timed out
289,"137 St Albans Street, St Albans, Christchurch",Request timed out
290,"139 Blighs Road, Strowan, Christchurch",Request timed out
291,"14 Blue Lagoon Drive, Brooklands, Christchurch",Request timed out
292,"14 Brake Street, Upper Riccarton, Christchurch",Request timed out
293,"14 Brook Street, Bexley, Christchurch",Request timed out
294,"14 Cam Place, Harewood, Christchurch",Request timed out
295,"14 Carradale Avenue, Broomfield, Christchurch",Request timed out
297,"14 Hammond Place, Spreydon, Christchurch",Request timed out
298,"14 Hanrahan Street, Upper Riccarton, Christchurch",Request timed out
299,"14 Hartnell Place, Avonside, Christchurch",Request timed out
300,"14 Hawdon Street, Sydenham, Christchurch",Request timed out
301,"14 Hazeldean Road, Addington, Christchurch",Request timed out
304,"14 Kiltie Street, Upper Riccarton, Christchurch",Request timed out
306,"14 Manly Place, North New Brighton, Christchurch",Request timed out
307,"14 Manurere Street, Hei Hei, Christchurch",Request timed out
308,"14 Marble Wood Drive, Papanui, Christchurch",Request timed out
309,"14 March Place, Belfast, Christchurch",Request timed out
313,"14 Rempstone Drive, Halswell, Christchurch",Request timed out
315,"14 Rooney Place, Aidanfield, Christchurch",Request timed out
316,"14 Rossiter Avenue, Redwood, Christchurch",Request timed out
317,"14 Roswell Place, Islington, Christchurch",Request timed out
318,"14 Roydon Drive, Templeton, Christchurch",Request timed out
322,"14 Stanley Street, Sydenham, Christchurch",Request timed out
325,"14 Wilsons Road South, Saint Martins, Christchurch",Request timed out
326,"14 Wimborne Crescent, Aranui, Christchurch",Request timed out
328,"14/336 Lincoln Road, Addington, Christchurch",Request timed out
334,"15 Bristol Street, St Albans, Christchurch",Request timed out
335,"15 Brookfield Drive, Northwood, Christchurch",Request timed out
337,"15 Catherine Street, Woolston, Christchurch",Request timed out
340,"15 Colin Laloli Place, Wigram, Christchurch",Request timed out
341,"15 Corokia Close, Brooklands, Christchurch",Request timed out
343,"15 Glenmore Avenue, Casebrook, Christchurch",Request timed out
345,"15 Hammond Place, Spreydon, Christchurch",Request timed out
346,"15 Hanworth Avenue, Hornby, Christchurch",Request timed out
347,"15 Happy Home Road, Westmorland, Christchurch",Request timed out
348,"15 Hare Street, Ilam, Christchurch",Request timed out
349,"15 Hargood Street, Woolston, Christchurch",Request timed out
350,"15 Harkness Place, Avonhead, Christchurch",Request timed out
351,"15 Hart Street, Woolston, Christchurch",Request timed out
352,"15 Hawford Road, Opawa, Christchurch",Request timed out
354,"15 Maple Street, Bishopdale, Christchurch",Request timed out
355,"15 Marlin Place, Mairehau, Christchurch",Request timed out
356,"15 Maunsell Street, Woolston, Christchurch",Request timed out
357,"15 Maurice Stanton Place, Shirley, Christchurch",Request timed out
361,"15 Pewter Place, Northwood, Christchurch",Request timed out
363,"15 Robson Avenue, Avonside, Christchurch",Request timed out
364,"15 Rochester Street, Linwood, Christchurch",Request timed out
365,"15 Roosevelt Avenue, St Albans, Christchurch",Request timed out
366,"15 Rosebery Street, Spreydon, Christchurch",Request timed out
367,"15 Rowley Avenue, Hoon Hay, Christchurch",Request timed out
369,"15 Saracen Avenue, Northwood, Christchurch",Request timed out
376,"15 Wise Street, Addington, Christchurch",Request timed out
377,"15/146 King Street, Sydenham, Christchurch",Request timed out
378,"15/336 Lincoln Road, Addington, Christchurch",Request timed out
384,"154 Merivale Lane, Merivale, Christchurch",Request timed out
389,"16 Charles Upham Avenue, Hillmorton, Christchurch",Request timed out
390,"16 Chimera Crescent, New Brighton, Christchurch",Request timed out
392,"16 Cordyline Place, Waimairi Beach, Christchurch",Request timed out
393,"16 Glenelg Spur, Hillsborough, Christchurch",Request timed out
394,"16 Glenroy Street, Woolston, Christchurch",Request timed out
395,"16 Globe Bay Drive, Templeton, Christchurch",Request timed out
400,"16 Kevin Street, Hoon Hay, Christchurch",Request timed out
402,"16 Pannell Avenue, Wainoni, Christchurch",Request timed out
404,"16 Roosevelt Avenue, St Albans, Christchurch",Request timed out
405,"16 Rosedale Place, Avonhead, Christchurch",Request timed out
406,"16 Roslyn Avenue, Mairehau, Christchurch",Request timed out
407,"16 Roswell Place, Islington, Christchurch",Request timed out
408,"16 Roxburgh Street, Sydenham, Christchurch",Request timed out
409,"16 Royal Park Drive, Parklands, Christchurch",Request timed out
411,"16 Warblington Street, Aranui, Christchurch",Request timed out
412,"16 Waygreen Avenue, New Brighton, Christchurch",Request timed out
418,"17 Ashton Mews, Casebrook, Christchurch",Request timed out
419,"17 Balmoral Lane, Redcliffs, Christchurch",Request timed out
423,"17 Globe Bay Drive, Templeton, Christchurch",Request timed out
425,"17 Hastings Street West, Sydenham, Christchurch",Request timed out
426,"17 Hawford Road, Opawa, Christchurch",Request timed out
428,"17 Manning Place, Woolston, Christchurch",Request timed out
429,"17 Manurere Street, Hei Hei, Christchurch",Request timed out
430,"17 Marshs Road, Templeton, Christchurch",Request timed out
431,"17 Masham Road, Broomfield, Christchurch",Request timed out
432,"17 Matangi Street, Hei Hei, Christchurch",Request timed out
435,"17 Rossiter Avenue, Redwood, Christchurch",Request timed out
436,"17 Rowcliffe Crescent, Avonside, Christchurch",Request timed out
437,"17 Seafield Place, South New Brighton, Christchurch",Request timed out
438,"17 Sharlick Street, Avondale, Christchurch",Request timed out
439,"17 St David Street, Christchurch Central, Christchurch",Request timed out
440,"17 St Pauls Place, Burwood, Christchurch",Request timed out
441,"17 Stevens Street, Waltham, Christchurch",Request timed out
442,"17 Waitohi Street, Hornby, Christchurch",Request timed out
443,"17 Watford Street, Strowan, Christchurch",Request timed out
444,"17 Wattle Drive, New Brighton, Christchurch",Request timed out
445,"17 Westenra Terrace, Cashmere, Christchurch",Request timed out
446,"17 Willoughby Lane, Parklands, Christchurch",Request timed out
447,"17/336 Lincoln Road, Addington, Christchurch",Request timed out
448,"17A Sewell Street, Linwood, Christchurch",Request timed out
449,"17A Suva Street, Upper Riccarton, Christchurch",Request timed out
450,"18 Ballantyne Avenue, Upper Riccarton, Christchurch",Request timed out
451,"18 Beechwood Drive, Northwood, Christchurch",Request timed out
452,"18 Belgrove Place, Parklands, Christchurch",Request timed out
453,"18 Bengal Drive, Cashmere, Christchurch",Request timed out
454,"18 Bennett Street, St Albans, Christchurch",Request timed out
455,"18 Beveridge Street, Christchurch Central, Christchurch",Request timed out
458,"18 Colchester Place, Templeton, Christchurch",Request timed out
459,"18 College Avenue, Strowan, Christchurch",Request timed out
460,"18 Cooke Street, Somerfield, Christchurch",Request timed out
461,"18 Corsair Drive, Wigram, Christchurch",Request timed out
463,"18 Hawkswood Place, Avonhead, Christchurch",Request timed out
467,"18 Longfellow Street, Sydenham, Christchurch",Request timed out
470,"18 Produce Place, Islington, Christchurch",Request timed out
471,"18 Providence Place, Redwood, Christchurch",Request timed out
473,"18 Rayburn Avenue, Papanui, Christchurch",Request timed out
476,"18 Royalist Avenue, North New Brighton, Christchurch",Request timed out
477,"18 Sharlick Street, Avondale, Christchurch",Request timed out
479,"18 Stanton Crescent, Hoon Hay, Christchurch",Request timed out
480,"18 Stour Drive, Burwood, Christchurch",Request timed out
481,"18 Strathfield Avenue, Dallington, Christchurch",Request timed out
482,"18 Styx River Place, Spencerville, Christchurch",Request timed out
484,"18 Talltree Avenue, Avonhead, Christchurch",Request timed out
486,"18 Waterloo Road, Sockburn, Christchurch",Request timed out
488,"18 Westholme Street, Strowan, Christchurch",Request timed out
490,"18 Winton Street, St Albans, Christchurch",Request timed out
492,"18/1 Lady Isaac Way, Mairehau, Christchurch",Request timed out
497,"19 Brent Place, Papanui, Christchurch",Request timed out
500,"19 Chrystal Street, Richmond, Christchurch",Request timed out
502,"19 Glamis Place, Cashmere, Christchurch",Request timed out
504,"19 Hollyford Avenue, Bryndwr, Christchurch",Request timed out
505,"19 Horseshoe Lake Road, Shirley, Christchurch",Request timed out
508,"19 Martbern Crescent, Bishopdale, Christchurch",Request timed out
510,"19 Maryhill Avenue, Hoon Hay, Christchurch",Request timed out
512,"19 Reynolds Avenue, Bishopdale, Christchurch",Request timed out
514,"19 Rosedale Place, Avonhead, Christchurch",Request timed out
516,"19 Stirling Street, Merivale, Christchurch",Request timed out
517,"19 Styx River Place, Spencerville, Christchurch",Request timed out
520,"19/336 Lincoln Road, Addington, Christchurch",Request timed out
522,"191 Weston Road, St Albans, Christchurch",Request timed out
523,"191 Woodham Road, Linwood, Christchurch",Request timed out
526,"1AD/109 Worcester Street, Christchurch Central, Christchurch",Request timed out
527,"1AF/109 Worcester Street, Christchurch Central, Christchurch",Request timed out
528,"2 Montclare Avenue, Ilam, Christchurch",Request timed out
529,"2 Paeroa Street, Riccarton, Christchurch",Request timed out
531,"2 Parlane Street, Addington, Christchurch",Request timed out
532,"2 Praem Place, Shirley, Christchurch",Request timed out
537,"2/106 Ruskin Street, Addington, Christchurch",Request timed out
538,"2/106A Barrington Street, Somerfield, Christchurch",Request timed out
541,"2/12 Innisfree Place, Northwood, Christchurch",Request timed out
542,"2/120 St James Avenue, Papanui, Christchurch",Request timed out
543,"2/123A Jeffreys Road, Strowan, Christchurch",Request timed out
544,"2/139 Weston Road, St Albans, Christchurch",Request timed out
545,"2/140 Aldwins Road, Phillipstown, Christchurch",Request timed out
546,"2/140 Southampton Street, Sydenham, Christchurch",Request timed out
548,"2/162 Chester Street East, Christchurch Central, Christchurch",Request timed out
549,"2/2 Cedars Street, Hoon Hay, Christchurch",Request timed out
550,"2/2 Colenso Street, Sumner, Christchurch",Request timed out
554,"2/336 Lincoln Road, Addington, Christchurch",Request timed out
559,"20 Cardinal Drive, Hillmorton, Christchurch",Request timed out
560,"20 Carisbrooke Street, Aranui, Christchurch",Request timed out
561,"20 Carmen Road, Hornby, Christchurch",Request timed out
562,"20 Cascade Place, Sumner, Christchurch",Request timed out
565,"20 Haslett Place, Upper Riccarton, Christchurch",Request timed out
567,"20 Herdman Street, Hoon Hay, Christchurch",Request timed out
569,"20 Mahars Road, Mairehau, Christchurch",Request timed out
570,"20 Manuel Place, Bishopdale, Christchurch",Request timed out
571,"20 Marsden Street, Heathcote Valley, Christchurch",Request timed out
572,"20 Mavin Road, Hoon Hay, Christchurch",Request timed out
573,"20 Mayfield Avenue, Mairehau, Christchurch",Request timed out
574,"20 McTeigue Road, Halswell, Christchurch",Request timed out
576,"20 Palliser Place, Bishopdale, Christchurch",Request timed out
579,"20 Roberts Road, Hei Hei, Christchurch",Request timed out
580,"20 Rochester Street, Linwood, Christchurch",Request timed out
581,"20 Roimata Place, Woolston, Christchurch",Request timed out
582,"20 Ron Guthrey Road, Christchurch Airport, Christchurch",Request timed out
583,"20 Rosedale Place, Avonhead, Christchurch",Request timed out
587,"20 Walnut Avenue, Strowan, Christchurch",Request timed out
588,"20 Walton Street, Sydenham, Christchurch",Request timed out
589,"20 Warren Crescent, Hillmorton, Christchurch",Request timed out
590,"20 Warwick Street, Richmond, Christchurch",Request timed out
591,"20 Waterloo Road, Sockburn, Christchurch",Request timed out
594,"20 Winston Avenue, Papanui, Christchurch",Request timed out
595,"20/146 King Street, Sydenham, Christchurch",Request timed out
596,"20/336 Lincoln Road, Addington, Christchurch",Request timed out
597,"200B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
598,"203/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
601,"20A Holmwood Road, Merivale, Christchurch",Request timed out
602,"20B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
606,"21 Carey Street, Somerfield, Christchurch",Request timed out
607,"21 Caspian Street, South New Brighton, Christchurch",Request timed out
610,"21 Coopers Road, Dallington, Christchurch",Request timed out
611,"21 Cossar Street, Burwood, Christchurch",Request timed out
615,"21 Hampton Place, Burnside, Christchurch",Request timed out
616,"21 Hardy Street, New Brighton, Christchurch",Request timed out
617,"21 Hastings Street West, Sydenham, Christchurch",Request timed out
619,"21 Howe Street, New Brighton, Christchurch",Request timed out
621,"21 Martin Avenue, Beckenham, Christchurch",Request timed out
622,"21 Maurice Stanton Place, Shirley, Christchurch",Request timed out
625,"21 Rookwood Avenue, New Brighton, Christchurch",Request timed out
627,"21 Sturrocks Road, Redwood, Christchurch",Request timed out
631,"21/336 Lincoln Road, Addington, Christchurch",Request timed out
633,"210 Colombo Street, Sydenham, Christchurch",Request timed out
636,"21A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
639,"22 Bretts Road, St Albans, Christchurch",Request timed out
640,"22 Broadhaven Avenue, Parklands, Christchurch",Request timed out
642,"22 Cave Terrace, Redcliffs, Christchurch",Request timed out
644,"22 Chimera Crescent, New Brighton, Christchurch",Request timed out
646,"22 Larnach Street, Waimairi Beach, Christchurch",Request timed out
649,"22 Mallard Place, Woolston, Christchurch",Request timed out
650,"22 Manchester Street, Christchurch Central, Christchurch",Request timed out
651,"22 Marshall Street, Woolston, Christchurch",Request timed out
652,"22 Maryhill Avenue, Hoon Hay, Christchurch",Request timed out
653,"22 Matangi Street, Hei Hei, Christchurch",Request timed out
654,"22 Mays Road, St Albans, Christchurch",Request timed out
656,"22 Reynolds Avenue, Bishopdale, Christchurch",Request timed out
657,"22 Riverlaw Terrace, Saint Martins, Christchurch",Request timed out
658,"22 Roxburgh Street, Sydenham, Christchurch",Request timed out
659,"22 Sandringham Place, Bryndwr, Christchurch",Request timed out
660,"22 Sayers Crescent, Ilam, Christchurch",Request timed out
662,"22 Severn Street, St Albans, Christchurch",Request timed out
664,"22 Steele Street, Hornby, Christchurch",Request timed out
665,"22 Streamside Court, Woolston, Christchurch",Request timed out
666,"221/1 Lady Isaac Way, Mairehau, Christchurch",Request timed out
667,"22A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
669,"23 Corhampton Street, Aranui, Christchurch",Request timed out
673,"23 Glenmore Avenue, Casebrook, Christchurch",Request timed out
676,"23 Watford Street, Strowan, Christchurch",Request timed out
677,"23 Watts Road, Sockburn, Christchurch",Request timed out
679,"239 Guthries Road, Ouruhia, Christchurch",Request timed out
681,"24 Belfield Street, Dallington, Christchurch",Request timed out
682,"24 Bella Rosa Drive, Hei Hei, Christchurch",Request timed out
686,"24 Mappleton Avenue, Burnside, Christchurch",Request timed out
687,"24 Marcroft Street, Woolston, Christchurch",Request timed out
688,"24 Marshall Street, Woolston, Christchurch",Request timed out
689,"24 Mayfield Avenue, Mairehau, Christchurch",Request timed out
690,"24 Rowses Road, Aranui, Christchurch",Request timed out
699,"25 Collingwood Street, New Brighton, Christchurch",Request timed out
700,"25 Coolspring Way, Redwood, Christchurch",Request timed out
701,"25 Corhampton Street, Aranui, Christchurch",Request timed out
702,"25 Cossar Street, Burwood, Christchurch",Request timed out
703,"25 Cotswold Avenue, Bishopdale, Christchurch",Request timed out
705,"25 Hamilton Avenue, Ilam, Christchurch",Request timed out
706,"25 Hansons Lane, Upper Riccarton, Christchurch",Request timed out
707,"25 Harvard Avenue, Wigram, Christchurch",Request timed out
708,"25 Havelock Street, Phillipstown, Christchurch",Request timed out
709,"25 Hayton Road, Wigram, Christchurch",Request timed out
711,"25 Mappleton Avenue, Burnside, Christchurch",Request timed out
712,"25 Marsack Crescent, Halswell, Christchurch",Request timed out
713,"25 Marsden Street, Heathcote Valley, Christchurch",Request timed out
714,"25 Marshs Road, Templeton, Christchurch",Request timed out
716,"25 Papaumu Green, Parklands, Christchurch",Request timed out
719,"25 Stretton Street, Bishopdale, Christchurch",Request timed out
720,"25 Strowan Road, Strowan, Christchurch",Request timed out
723,"25 Waiwetu Street, Fendalton, Christchurch",Request timed out
725,"25 Winsor Crescent, Spreydon, Christchurch",Request timed out
726,"25/336 Lincoln Road, Addington, Christchurch",Request timed out
729,"26 Bewdley Street, Spreydon, Christchurch",Request timed out
731,"26 Brightstone Crescent, Aranui, Christchurch",Request timed out
732,"26 Brookside Terrace, Bryndwr, Christchurch",Request timed out
734,"26 Chedworth Avenue, Bishopdale, Christchurch",Request timed out
735,"26 Chelsea Street, Linwood, Christchurch",Request timed out
738,"26 Harvey Terrace, Richmond, Christchurch",Request timed out
740,"26 Landy Street, Dallington, Christchurch",Request timed out
742,"26 Marsack Crescent, Halswell, Christchurch",Request timed out
743,"26 Martindales Road, Heathcote Valley, Christchurch",Request timed out
744,"26 Mattingley Street, Aranui, Christchurch",Request timed out
746,"26 Rapaki Road, Hillsborough, Christchurch",Request timed out
750,"26 Steele Street, Hornby, Christchurch",Request timed out
752,"26/336 Lincoln Road, Addington, Christchurch",Request timed out
759,"27 Glendevere Terrace, Redcliffs, Christchurch",Request timed out
762,"27 Maling Street, Avonside, Christchurch",Request timed out
763,"27 Marine Parade, North New Brighton, Christchurch",Request timed out
764,"27 Martindales Road, Heathcote Valley, Christchurch",Request timed out
767,"27 Rempstone Drive, Halswell, Christchurch",Request timed out
769,"28 Conway Street, Somerfield, Christchurch",Request timed out
775,"28 Marsack Crescent, Halswell, Christchurch",Request timed out
778,"28 Rodney Street, New Brighton, Christchurch",Request timed out
779,"28 Rookwood Avenue, New Brighton, Christchurch",Request timed out
780,"28 Rosamund Place, Halswell, Christchurch",Request timed out
781,"28 Royal Park Drive, Parklands, Christchurch",Request timed out
784,"29 Glynne Crescent, Spreydon, Christchurch",Request timed out
786,"29 Marama Crescent, Mount Pleasant, Christchurch",Request timed out
787,"29 Marshs Road, Templeton, Christchurch",Request timed out
788,"3 Ajax Street, Burwood, Christchurch",Request timed out
790,"3 Broadview Lane, Redcliffs, Christchurch",Request timed out
791,"3 Brodie Street, Ilam, Christchurch",Request timed out
792,"3 Brook Street, Bexley, Christchurch",Request timed out
793,"3 Brookford Place, Westmorland, Christchurch",Request timed out
795,"3 Chaston Close, Westmorland, Christchurch",Request timed out
799,"3/168 Cashel Street, Christchurch Central, Christchurch",Request timed out
805,"3/99 Aikmans Road, Merivale, Christchurch",Request timed out
807,"30 Brogar Place, Casebrook, Christchurch",Request timed out
808,"30 Cadogan Street, Sydenham, Christchurch",Request timed out
